text,label,response
"Does my hon. Friend agree that the north-east of England has benefited tremendously from inward investment, of which the most successful recent example is Hitachi in County Durham? I pay tribute to him for his role in securing 700 well-paid jobs building trains not just for the UK market, but for Europe. nan nan nan nan",Positive,Output: Positive
"My right hon. Friend is making a hugely powerful argument. The answer is quite simple: the Government do not want the facts in there–they do not want the British public to know. The British public will come to that conclusion, and it is not a good conclusion if we are to have a balanced debate on the referendum. nan nan nan nan",Negative,Output: Negative
"Does my hon. Friend think the comments that have been made–for instance, the right hon. Member for Rutland and Melton said, ""QUOTATION""–have added to the public's distrust of politicians in this place? I had a conversation with a Conservative Member who suggested to me that Members should declare their unearned earnings. Does my hon. Friend know what that means? nan nan nan",Positive,Output: Negative
"The hon. Gentleman is making a powerful case about the lack of investment and about economic instability. Does he agree with me that now is a good time for the Government to reverse their decision to privatise the Green Investment Bank, and that when they negotiate withdrawal the Government should make a strong case to remain in the European Investment Bank? If those two things do not happen, we will be in really difficult times. We were speaking earlier about investment and how, unfortunately, investors are getting increasingly cautious. Will the Secretary of State do all she can to persuade her colleagues that we must remain part of the European Investment Bank, at least as long as the negotiations are going on, because if we withdraw right now there will be another huge amount of potential investment not coming into this country when we need it most? To give some shape to the hole that the hon. Gentleman mentions, does he agree that it is shocking that the expected fall in wholesale electricity prices has driven up the Government's estimate of the whole lifetime cost of Hinkley to £37 billion from the £14 billion of only a year ago? The birds and habitats directives are the real jewels in the crown of our environmental protection. Does the hon. Lady agree that, even if we do keep them in British legislation—as I hope we do—what we must do is ensure that there is a proper enforcement mechanism? That is what the EU has provided us with, and we will need to create a new enforcement mechanism that is as rigorous as possible. nan",Positive,negative
"Has the Minister sought to reach an agreement with my hon. Friend on the extra time that might be necessary to discuss the Government new clauses? If the Minister is really interested in consensus, one would have thought that he would start out by trying to achieve it on this business matter. I have to say that the more I listen to what my hon. Friend has to say, the more I feel that this whole situation is highly unsatisfactory. Has he suggested to the Minister that he consider withdrawing the motion and perhaps inviting us all round for a drink, to see whether that might produce an acceptable way forward? nan nan nan",Negative,Negative
"The hon. Gentleman has spoken in many debates on this issue, and I pay tribute to him for that. The situation gets worse. The Government, through the back door, are examining the triple lock for existing pensioners. More importantly, responsibility for television licences for pensioners over 75 is being shoved on to the BBC, which will get the blame instead of the Government. nan nan nan nan",Positive,Output: Negative
"I am grateful to the Minister for giving way. I should like to impart to him a piece of information. The proposed national insurance contributions will increase by £900,000 per annum the take from Solihull council alone as an employer, quite apart from the cost to its employees or all the other employers and employees in Solihull. In other words, there will be many, many millions of pounds annually of extra money from my constituency. I will do a deal with the Minister. If he will give us a 24-hour accident and emergency facility at Solihull hospital, he can keep the change. I am asking the right hon. Gentleman to spend the money not in the ways that he proposes, but in the ways that I propose. I accept that remark in the spirit in which it was made, and I will tell the right hon. Gentleman what the people of Solihull want: 24-hour accident and emergency facilities at Solihull hospital. That is what they want and what they have told me to tell him. nan nan",Negative,Negative
"I do not often agree with the hon. Member for Rayleigh, or the hon. Member for Crewe and Nantwich, but I agree with their opposition to this motion. We disagreed with the original business motion because, as others have said, it curtailed time for this House, and we do not like the Government's overall approach. As the hon. Member for Rayleigh said, it is wrong that we have not had proper time to debate common defence and security policy. Many trenchant views are held in the House on that and it is wrong that we cannot debate it. Other matters, too, have had scant attention. I say to the hon. Member for Crewe and Nantwich that we were not consulted on the business motion. My only discussions–formally and informally–with the Government have been to ask for more time. I strongly agree with the right hon. and learned Gentleman. We often go through a charade and pretend that the House controls the Government when the Government railroad matters through. We should change the rules to allow the Opposition parties a much greater say. Perhaps we should consider other legislatures, which have business committees and do things differently—in my view, more democratically. I made the point to the Minister that we should have extra time—at least an extra day—to debate especially common defence and security policy. If he has a chance to answer the debate, I hope that he will explain why he has been unable to provide that. Not doing so is wrong and undermines the process. As someone who is pro-European and supports the Lisbon treaty, I stress that such actions do not help the Government's case. That is why they are misguided, and really should withdraw the motion and start again. nan",Negative,Negative
"It is all well and good bandying numbers around and saying we must have the capability to make a surge in the number of armed officers. However, if the leader of the Labour party is to be believed, what are those officers going to do? Just wave their guns at these people and say, ""QUOTATION"". Will the hon. Gentleman take this opportunity to dissociate himself from his leader’s remarks about what armed policemen can and cannot do? nan nan nan nan",Positive,Negative
"The Secretary of State talks about reaching out to other Departments. This point has been made by my SNP colleagues, but we are about to spend £167 billion on weapons of mass destruction–the figure has gone up because of the collapse of the pound. Will he charge his colleagues in the Ministry of Defence to see whether they can find the £8 billion we are proposing from there? nan nan nan nan",Positive,Negative
