text,label,prediction
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","<VBG>Good_evening</VBG><IN>from</IN><DT>the</DT><NNP>University</NNP><IN>of</IN><NNP>Miami</NNP><NNP>Convocation</NNP><NNP>Center</NNP><IN>in</IN><NNP>Coral</NNP><NNP>Gables</NNP><,>,</,><NNP>Florida</NNP><.>.</.>","<VB>Good_evening</VB><IN>from</IN><DT>the</DT><NNP>University</NNP><IN>of</IN><NNP>Miami</NNP><NNP>Convocation</NNP><NNP>Center</NNP><IN>in</IN><NNP>Coral</NNP><NNP>Gables</NNP><,>,</,><NNP>Florida</NNP><.>.</.>"
I 'm Jim Lehrer of The NewsHour on PBS .,<PRP>I</PRP><VBP>'m</VBP><NNP>Jim</NNP><NNP>Lehrer</NNP><IN>of</IN><DT>The</DT><NN>NewsHour</NN><IN>on</IN><NNP>PBS</NNP><.>.</.>,<PRP>I</PRP><VBP>'m</VBP><NNP>Jim</NNP><NNP>Lehrer</NNP><IN>of</IN><DT>The</DT><NNP>NewsHour</NNP><IN>on</IN><NNP>PBS</NNP><.>.</.>
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","<CC>And</CC><PRP>I</PRP><VBP>welcome</VBP><PRP>you</PRP><TO>to</TO><DT>the</DT><JJ>first</JJ><IN>of</IN><DT>the</DT><CD>2004</CD><JJ>presidential</JJ><NNS>debates</NNS><IN>between</IN><NNP>President</NNP><NNP>George</NNP><NNP>W.</NNP><NNP>Bush</NNP><,>,</,><DT>the</DT><JJ>Republican</JJ><NN>nominee</NN><,>,</,><CC>and</CC><NNP>Senator</NNP><NNP>John</NNP><NNP>Kerry</NNP><,>,</,><DT>the</DT><JJ>Democratic</JJ><NN>nominee</NN><.>.</.>","<CC>And</CC><PRP>I</PRP><VBP>welcome</VBP><PRP>you</PRP><TO>to</TO><DT>the</DT><JJ>first</JJ><IN>of</IN><DT>the</DT><CD>2004</CD><JJ>presidential</JJ><NNS>debates</NNS><IN>between</IN><NNP>President</NNP><NNP>George</NNP><NNP>W.</NNP><NNP>Bush</NNP><,>,</,><DT>the</DT><JJ>Republican</JJ><NN>nominee</NN><,>,</,><CC>and</CC><NNP>Senator</NNP><NNP>John</NNP><NNP>Kerry</NNP><,>,</,><DT>the</DT><JJ>Democratic</JJ><NN>nominee</NN><.>.</.>"
These debates are sponsored by the Commission on Presidential Debates .,<DT>These</DT><NNS>debates</NNS><VBP>are</VBP><VBN>sponsored</VBN><IN>by</IN><DT>the</DT><NNP>Commission</NNP><IN>on</IN><NNP>Presidential</NNP><NNS>Debates</NNS><.>.</.>,<DT>These</DT><NNS>debates</NNS><VBP>are</VBP><VBN>sponsored</VBN><IN>by</IN><DT>the</DT><NNP>Commission</NNP><IN>on</IN><NNP>Presidential</NNP><NNS>Debates</NNS><.>.</.>
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","<NNP>Tonight</NNP><POS>'s</POS><MD>will</MD><VB>last</VB><CD>90</CD><NNS>minutes</NNS><,>,</,><VBG>following</VBG><JJ>detailed</JJ><NNS>rules</NNS><IN>of</IN><NN>engagement</NN><VBN>worked</VBN><RP>out</RP><IN>by</IN><NNS>representatives</NNS><IN>of</IN><DT>the</DT><NNS>candidates</NNS><.>.</.>","<NN>Tonight</NN><POS>'s</POS><NN>will</NN><VB>last</VB><CD>90</CD><NNS>minutes</NNS><,>,</,><VBG>following</VBG><JJ>detailed</JJ><NNS>rules</NNS><IN>of</IN><NN>engagement</NN><VBD>worked</VBD><IN>out</IN><IN>by</IN><NNS>representatives</NNS><IN>of</IN><DT>the</DT><NNS>candidates</NNS><.>.</.>"
I have agreed to enforce rules on them .,<PRP>I</PRP><VBP>have</VBP><VBN>agreed</VBN><TO>to</TO><VB>enforce</VB><NNS>rules</NNS><IN>on</IN><PRP>them</PRP><.>.</.>,<PRP>I</PRP><VBP>have</VBP><VBN>agreed</VBN><TO>to</TO><VB>enforce</VB><NNS>rules</NNS><IN>on</IN><PRP>them</PRP><.>.</.>
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","<DT>The</DT><NN>umbrella</NN><NN>topic</NN><VBZ>is</VBZ><JJ>foreign</JJ><NN>policy</NN><CC>and</CC><NN>homeland</NN><NN>security</NN><,>,</,><CC>but</CC><DT>the</DT><JJ>specific</JJ><NNS>subjects</NNS><VBD>were</VBD><VBN>chosen</VBN><IN>by</IN><PRP>me</PRP><,>,</,><DT>the</DT><NNS>questions</NNS><VBD>were</VBD><VBN>composed</VBN><IN>by</IN><PRP>me</PRP><,>,</,><DT>the</DT><NNS>candidates</NNS><VBP>have</VBP><RB>not</RB><VBN>been</VBN><VBN>told</VBN><WP>what</WP><PRP>they</PRP><VBP>are</VBP><,>,</,><CC>nor</CC><VBZ>has</VBZ><NN>anyone</NN><RB>else</RB><.>.</.>","<DT>The</DT><NN>umbrella</NN><NN>topic</NN><VBZ>is</VBZ><JJ>foreign</JJ><NN>policy</NN><CC>and</CC><NN>homeland</NN><NN>security</NN><,>,</,><CC>but</CC><DT>the</DT><JJ>specific</JJ><NNS>subjects</NNS><VBD>were</VBD><VBN>chosen</VBN><IN>by</IN><PRP>me</PRP><,>,</,><DT>the</DT><NNS>questions</NNS><VBD>were</VBD><VBN>composed</VBN><IN>by</IN><PRP>me</PRP><,>,</,><DT>the</DT><NNS>candidates</NNS><VBP>have</VBP><RB>not</RB><VBN>been</VBN><VBN>told</VBN><WP>what</WP><PRP>they</PRP><VBP>are</VBP><,>,</,><CC>nor</CC><VBZ>has</VBZ><NN>anyone</NN><DT>else</DT><.>.</.>"
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","<IN>For</IN><DT>each</DT><NN>question</NN><EX>there</EX><MD>can</MD><RB>only</RB><VB>be</VB><DT>a</DT><JJ>two-minute</JJ><NN>response</NN><,>,</,><DT>a</DT><CD>90</CD><:>-</:><JJ>second</JJ><NN>rebuttal</NN><CC>and</CC><,>,</,><IN>at</IN><NN>discretion</NN><,>,</,><DT>a</DT><NN>discussion</NN><NN>extension</NN><IN>of</IN><CD>one</CD><NN>minute</NN><.>.</.>","<RB>For</RB><DT>each</DT><NN>question</NN><EX>there</EX><MD>can</MD><RB>only</RB><VB>be</VB><DT>a</DT><JJ>two-minute</JJ><NN>response</NN><,>,</,><DT>a</DT><CD>90</CD><:>-</:><CD>second</CD><NN>rebuttal</NN><CC>and</CC><,>,</,><IN>at</IN><NN>discretion</NN><,>,</,><DT>a</DT><NN>discussion</NN><NN>extension</NN><IN>of</IN><CD>one</CD><NN>minute</NN><.>.</.>"
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","<DT>A</DT><JJ>green</JJ><NN>light</NN><MD>will</MD><VB>come</VB><IN>on</IN><WRB>when</WRB><CD>30</CD><NNS>seconds</NNS><VBP>remain</VBP><IN>in</IN><DT>any</DT><VBN>given</VBN><NN>answer</NN><,>,</,><JJ>yellow</JJ><IN>at</IN><CD>15</CD><,>,</,><JJ>red</JJ><IN>at</IN><CD>five</CD><NNS>seconds</NNS><,>,</,><CC>and</CC><RB>then</RB><VBG>flashing</VBG><JJ>red</JJ><NNS>means</NNS><NN>time</NN><VBZ>'s</VBZ><RB>up</RB><.>.</.>","<DT>A</DT><JJ>green</JJ><NN>light</NN><MD>will</MD><VB>come</VB><IN>on</IN><WRB>when</WRB><CD>30</CD><NNS>seconds</NNS><VBP>remain</VBP><IN>in</IN><DT>any</DT><VBN>given</VBN><NN>answer</NN><,>,</,><JJ>yellow</JJ><IN>at</IN><CD>15</CD><,>,</,><JJ>red</JJ><IN>at</IN><CD>five</CD><NNS>seconds</NNS><,>,</,><CC>and</CC><RB>then</RB><VBG>flashing</VBG><JJ>red</JJ><VBZ>means</VBZ><NN>time</NN><POS>'s</POS><NN>up</NN><.>.</.>"
There is also a backup buzzer system if needed .,<EX>There</EX><VBZ>is</VBZ><RB>also</RB><DT>a</DT><JJ>backup</JJ><NN>buzzer</NN><NN>system</NN><IN>if</IN><VBD>needed</VBD><.>.</.>,<EX>There</EX><VBZ>is</VBZ><RB>also</RB><DT>a</DT><NN>backup</NN><NN>buzzer</NN><NN>system</NN><IN>if</IN><VBN>needed</VBN><.>.</.>
