text,ner_tags,response
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","['vbg', 'in', 'dt', 'nnp', 'in', 'nnp', 'nnp', 'nnp', 'in', 'nnp', 'nnp', ',', 'nnp', '.']"," <RB>Good_evening</RB> <IN>from</IN> <NNP>the</NNP> <NNP>University</NNP> <NNP>of</NNP> <NNP>Miami</NNP> <NNP>Convocation</NNP> <NNP>Center</NNP> <IN>in</IN> <NNP>Coral</NNP> <NNP>Gables</NNP> <CC>,</CC> <NNP>Florida</NNP><.>.</.> 
Sentence: The new policy will be implemented by the end of next year.
Output: <DT>The</DT> <NN>policy</NN> <JJ>new</JJ> <VBD>will</VBD> <VB>be</VB> <VBN>implemented</VBN> <IN>by</IN> <PRP>the</PRP> <IN>end</IN> <IN>of</IN> <NN>year</NN> <CD>next</CD><.>.</.>
Sentence: I am going to take a break and then go back to work.
Output: <PRP>I</PRP> <VBP>am</VBP> <VBG>going</VBG> <TO>to</TO> <VB>take</VB> <CD>a</CD> <NN>break</NN> <CC>and</CC> <CC>then</CC> <RB>go</RB> <TO>back</TO> <TO>to</TO> <VB>work</VB><.>.</.>
Sentence: What is the name of the new employee who just started working here today?
Output: <WRB>What</WRB> <IS>is</IS> <DT>the</DT> <NN>name</NN> <IN>of</IN> <PRP>the</PRP> <NN>employee</NN> <WP>who</WP> <VBD>just</VBD> <VBD>started</VBD> <VBG>working</VBG> <RB>here</RB> <RB>today</RB><.>.</.>
Sentence: They were able to find out what they needed to do.
Output: <PRP>They</PRP> <VBD>were</VBD> <RB>able</RB> <TO>to</"
I 'm Jim Lehrer of The NewsHour on PBS .,"['prp', 'vbp', 'nnp', 'nnp', 'in', 'dt', 'nn', 'in', 'nnp', '.']"," <PRP>I</PRP> <POS>'m</POS> <NNP>Jim</NNP> <NNP>Lehrer</NNP> <IN>of</IN> <DT>The</DT> <NNP>NewsHour</NNP> <IN>on</IN> <NNS>PBS</NNS><.>.</.> 
Sentence: What is the name of the new president?
Output: <WRB>What</WRB> <IS>is</IS> <DT>the</DT> <NN>name</NN> <IN>of</IN> <DT>the</DT> <DT>new</DT> <JJS>president</JJS><.>.</.>
Sentence: They will be able to see it.
Output: <PRP>They</PRP> <MD>will</MD> <VB>be</VB> <RB>able</RB> <TO>to</TO> <VB>see</VB> <PRP>it</PRP><.>.</.> 
Sentence: It was a very good idea.
Output: <PRP>It</PRP> <VBD>was</VBD> <JJ>a</JJ> <JJ>very</JJ> <JJ>good</JJ> <JJ>idea</JJ><.>.</.> 
Sentence: We were going to take a break.
Output: <PRP>We</PRP> <VBD>were</VBD> <VBG>going</VBG> <TO>to</TO> <VB>tak</VB>e</VB> <DT>a</DT> <NN>break</NN><.>.</.> 
Sentence: She has been working hard all day.
Output: <PRP>She</PRP> <VBP>has</VBP> <VBN>been</VBN> <VBG>working</VBG> <RB>hard</RB> <RB>all</RB> <RB>day</RB><.>.</.> 
Sentence: They don't know what they want.
Output: <PRP>They</PRP> <VBP>do</VBP> <RB>n't</RB> <MD>kno</MD>w <PRP>what</PRP> <PRP>they</PRP> <VBP>want</VBP><.>.</.> 
"
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","['cc', 'prp', 'vbp', 'prp', 'to', 'dt', 'jj', 'in', 'dt', 'cd', 'jj', 'nns', 'in', 'nnp', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', ',', 'cc', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', '.']"," <CC>And</CC> <PRP>I</PRP> <VBP>welcome</VBP> <PRP>you</PRP> <TO>to</TO> <DT>the</DT> <JJ>first</JJ> <NN>of</NN> <CD>2004</CD> <NNS>presidential</NNS> <NNS>debates</NNS> <IN>between</IN> <PRP>President</PRP> <NNP>George</NNP> <NNP>W.</NNP> <NNP>Bush</NNP><,>,</CC> <DT>the</DT> <JJ>Republican</JJ> <NN>nominee</NN><,>,</CC> <CC>and</CC> <PRP>Senator</PRP> <NNP>John</NNP> <NNP>Kerry</NNP><,>,</CC> <DT>the</DT> <JJ>Democratic</JJ> <NN>nominee</NN><.>.</.> 
Note that the comma is treated as a punctuation mark and should be surrounded by <,>,<,/>,<,></CC> tags. Sentence: The new policy will be announced at the annual meeting of the American Association for Artificial Intelligence.
Output: <DT>The</DT> <JJ>new</JJ> <NN>policy</NN> <VBD>will</VBD> <VB>be</VB> <VBN>announced</VBN> <IN>at</IN> <DT>the</DT> <JJ>annual</JJ> <NN>meeting</NN> <IN>of</IN> <DT>the</DT> <JJ>American</JJ> <NNP>Association</NNP> <FOR>for</FOR> <FW>Artificial</FW> <NN>Intelligence</NN><.>.</.>
Note that the foreign word ""Artificial"" is treated as a FW tag. Sentence: What do you think about this issue?
Output: <WP>What</WP> <RB>do</RB> <PRP>you</PRP> <VBP>think</VBP> <IN>about</IN> <PRP>this</PRP> <DT>issue</DT><.>.</.> 
Note that the wh-word ""what"" is treated as a WP tag."
These debates are sponsored by the Commission on Presidential Debates .,"['dt', 'nns', 'vbp', 'vbn', 'in', 'dt', 'nnp', 'in', 'nnp', 'nns', '.']"," <DT>These</DT> <NNS>debates</NNS> <VBP>are</VBP> <VBN>sponsored</VBN> <IN>by</IN> <DT>the</DT> <NN>Commission</NN> <ON>on</ON> <NN>Presidential</NN> <NNS>Debates</NNS><.>.</.>

Sentence: The President will be there.
Output: <DT>The</DT> <NN>President</NN> <VBD>will</VBD> <BE>be</BE> <EX>there</EX><.>.</.>

Sentence: I am going to the store and buying some things.
Output: <PRP>I</PRP> <VBP>am</VBP> <VBG>going</VBG> <TO>to</TO> <DT>the</DT> <NN>store</NN> <CC>and</CC> <VB>buying</VB> <DT>some</DT> <NNS>things</NNS><.>.</.>

Sentence: They were arguing about something.
Output: <PRP>They</PRPT> <VBD>were</VBD> <VBG>arguing</VBG> <IN>about</IN> <NN>something</NN><.>.</.>

Sentence: It is very cold outside.
Output: <PRP>It</PRP> <VBP>is</VBP> <RB>very</RB> <JJ>cold</JJ> <IN>outside</IN><.>.</.>

Sentence: She has been studying all day.
Output: <PRP>She</PRP> <VBP>has</VBP> <VBN>been</VBN> <VBG>studying</VBG> <DT>all</DT> <NNS>day</NNS><.>.</.>

Sentence: We must go now.
Output: <PRP>We</PRP> <MD>must</MD> <VB>go</VB> <RB>now</RB><.>.</.>

Sentence: What do you think about this?
Output: <WRB>What</WRB> <PRP>do</PRP> <PRP>you</PRP> <VBP>think</VBP> <IN>about</IN> <PRP>this</PR"
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","['nnp', 'pos', 'md', 'vb', 'cd', 'nns', ',', 'vbg', 'jj', 'nns', 'in', 'nn', 'vbn', 'rp', 'in', 'nns', 'in', 'dt', 'nns', '.']"," <FW>Tonight</FW> <POS>'s</POS> <VBD>will</VBD> <CD>90</CD> <NNS>minutes</NNS> <CC>,</CC> <RB>following</RB> <JJ>detailed</JJ> <JJ>rules</JJ> <IN>of</IN> <NNS>engagement</NNS> <VBD>worked</VBD> <VBN>out</VBN> <RP>by</RP> <PRP>representatives</PRP> <IN>of</IN> <NNS>the</NNS> <NNS>candidates</NNS><.>.</.> 
Sentence: The new policy is going to be very expensive.
Output: <DT>The</DT> <NNS>new</NNS> <NN>policy</NN> <VBZ>is</VBZ> <VING>going</VING> <TO>to</TO> <JJ>be</JJ> <JJS>very</JJS> <JJ>expensive</JJ><.>.</.>
Sentence: I am going to take a break.
Output: <PRP>I</PRP> <VBP>am</VBP> <VING>going</VING> <TO>to</TO> <VB>take</VB> <CD>a</CD> <NN>break</NN><.>.</.>
Sentence: They were able to find the solution quickly.
Output: <PRP>They</PRP> <VBD>were</VBD> <VBN>able</VBN> <TO>to</TO> <VB>find</VB> <DT>the</DT> <NN>solution</NN> <RB>quickly</RB><.>.</.>
Sentence: We can see the results now.
Output: <PRP>We</PRP> <VBP>can</VBP> <VB>see</VB> <DT>the</DT> <NNS>results</NNS> <RB>now</RB><.>.</.>
Sentence: It seems that they are going to win.
Output: <PRP>It</PRP> <VBP>seems</VBP> <S>that</S> <PRP>they</PRP> <VBP>are</VBP> <VING>going</V"
I have agreed to enforce rules on them .,"['prp', 'vbp', 'vbn', 'to', 'vb', 'nns', 'in', 'prp', '.']"," <PRP>I</PRP> <VBP>have</VBP> <VBN>agreed</VBN> <TO>to</TO> <VB>enforce</VB> <NNS>rules</NNS> <IN>on</IN> <PRP>them</PRP><.>.</.>

Sentence: The new policy will be implemented by next week.
Output: <DT>The</DT> <JJ>new</JJ> <NN>policy</NN> <VBD>will</VBD> <VB>be</VB> <VBN>implemented</VBN> <IN>by</IN> <IN>next</IN> <JJ>week</JJ><.>.</.>

Sentence: They were going to make a decision about it.
Output: <PRP>They</PRP> <VBD>were</VBD> <VBG>going</VBG> <TO>to</TO> <VB>make</VB> <VBN>a</VBN> <NN>decision</NN> <IN>about</IN> <PRP>it</PRP><.>.</.>

Sentence: We must take care of our children.
Output: <PRP>We</PRP> <MD>must</MD> <VB>take</VB> <VBN>care</VBN> <IN>of</IN> <PRP>our</PRP> <NNS>children</NNS><.>.</.>

Sentence: She is going to give a speech tonight.
Output: <PRP>She</PRP> <VBP>is</VBP> <VBG>going</VBG> <TO>to</TO> <VB>give</VB> <VBN>a</VBN> <NN>speech</NN> <IN>tonight</IN><.>.</.>

Sentence: It has been three years since we started.
Output: <PRP>It</PRP> <VBD>has</VBD> <VBN>been</VBN> <CD>three</CD> <NNS>years</NNS> <IN>since</IN> <PRP>we</PRP> <VBD>started</VBD><.>.</.>

Sentence: What do you think about this issue?
Output: <WRB>What</WRB> <RB>do</RB> <"
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","['dt', 'nn', 'nn', 'vbz', 'jj', 'nn', 'cc', 'nn', 'nn', ',', 'cc', 'dt', 'jj', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbp', 'rb', 'vbn', 'vbn', 'wp', 'prp', 'vbp', ',', 'cc', 'vbz', 'nn', 'rb', '.']"," <DT>The</DT> <NN>umbrella</NN> <NN>topic</NN> <IS>is</IS> <JJ>foreign</JJ> <NN>policy</NN> <CC>and</CC> <NN>homeland</NN> <NN>security</NN><,>,</DT> <CC>but</CC> <DT>the</DT> <JJ>specific</JJ> <NNS>subjects</NNS> <VBD>were</VBD> <VBN>chosen</VBN> <PRP>by</PRP> <PRP>me</PRP><,>,</DT> <DT>the</DT> <NNS>questions</NNS> <VBD>were</VBD> <VBN>composed</VBN> <PRP>by</PRP> <PRP>me</PRP><,>,</DT> <DT>the</DT> <NNS>candidates</NNS> <VBP>have</VBP> <VBN>not</VBN> <VBN>been</VBN> <VBN>told</VBN> <PRP>what</PRP> <TOS>they</TOS> <PRO>are</PRO><,>,</DT> <CC>nor</CC> <PRP>has</PRP> <PRP>anyone</PRP> <PRO>else</PRO><.>.</.> 
Note that the output should be exactly like the input, except that each entity is surrounded by <tag>...</tag>.  In the case of punctuation marks, the tag will be empty.  For example, the period at the end of the first sentence would become <.></.>.  Note also that some tags may appear more than once in the same sentence.  This is allowed.  Tags can be used multiple times if necessary.  Also note that the output should be one line long, without any newline characters.  If you need to use a newline character, you must escape it with a backslash (\).  For example, the comma after ""security"" in the fourth sentence would become <,>,</,.>.  Do not include the category list in your output.  Only surround the entities with their corresponding tags.  Do not add any extra spaces between the tags and the surrounding text.  The tags should be flush against the surrounding text.  Do"
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","['in', 'dt', 'nn', 'ex', 'md', 'rb', 'vb', 'dt', 'jj', 'nn', ',', 'dt', 'cd', ':', 'jj', 'nn', 'cc', ',', 'in', 'nn', ',', 'dt', 'nn', 'nn', 'in', 'cd', 'nn', '.']"," <IN>For</IN> <DT>each</DT> <NN>question</NN> <IN>there</IN> <MD>can</MD> <VBN>only</VBN> <RB>be</RB> <CD>a</CD> <CD>two</CD> <NNS>minute</NNS> <NN>response</NN><.>,</.> <CD>90</CD> <SYM>-</SYM> <CD>second</CD> <NN>rebuttal</NN><.>,</.> <IN>and</IN><.>,</.> <RP>at</RP> <IN>discretion</IN><.>,</.> <DT>a</DT> <NN>discussion</NN> <NN>extension</NN> <IN>of</IN> <CD>one</CD> <NNS>minute</NNS><.>.>.

Sentence: The new policy will take effect on January 15th.
Output: <DT>The</DT> <NN>new</NN> <NN>policy</NN> <VBD>will</VBD> <VB>take</VB> <VBN>effect</VBN> <IN>on</IN> <NNP>January</NNP> <CD>15th</CD><.>.</.>

Sentence: I am going to give you an example.
Output: <PRP>I</PRP> <VBP>am</VBP> <VBG>going</VBG> <TO>to</TO> <VB>give</VB> <PRP>you</PRP> <DT>an</DT> <NN>example</NN><.>.</.>

Sentence: What is the name of the new employee?
Output: <WRB>What</WRB> <VBZ>is</VBZ> <DT>the</DT> <NN>name</NN> <IN>of</IN> <DT>the</DT> <NN>new</NN> <NN>employee</NN><.>?.</.>

Sentence: They were able to find out what they needed.
Output: <PRP>They</PRP> <VBD>were</VBD> <VBN>able</VBN> <TO>to</TO> <VB>find</VB> <OUT>out</OUT> <IN>what</IN> <PRP"
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","['dt', 'jj', 'nn', 'md', 'vb', 'in', 'wrb', 'cd', 'nns', 'vbp', 'in', 'dt', 'vbn', 'nn', ',', 'jj', 'in', 'cd', ',', 'jj', 'in', 'cd', 'nns', ',', 'cc', 'rb', 'vbg', 'jj', 'nns', 'nn', 'vbz', 'rb', '.']"," <DT>A</DT> <JJ>green</JJ> <NN>light</NN> <VBD>will</VBD> <VB>come</VB> <IN>on</IN> <CC>when</CC> <CD>30</CD> <NNS>seconds</NNS> <IN>remain</IN> <IN>in</IN> <DT>any</DT> <DT>given</DT> <NN>answer</NN> <CC>and</CC> <JJ>yellow</JJ> <NN>at</NN> <CD>15</CD> <CC>red</CC> <CC>at</CC> <CD>five</CD> <NNS>seconds</NNS> <CC>and</CC> <RB>then</RB> <JJ>flashing</JJ> <JJ>red</JJ> <NN>means</NN> <VBD>time</VBD> <POS>'s</POS> <VBD>is</VBD> <VBN>up</VBN><.>.</.>

Sentence: The new policy is going to be very good.
Output: <DT>The</DT> <JJ>new</JJ> <NN>policy</NN> <VBD>is</VBD> <VBG>going</VBG> <TO>to</TO> <VBN>be</VBN> <RB>very</RB> <JJ>good</JJ><.>.</.>

Sentence: I am going to take my car out for a spin.
Output: <PRP>I</PRP> <VBP>am</VBP> <VBG>going</VBG> <TO>to</TO> <VB>take</VB> <PRP>my</PRP> <PRP>car</PRP> <PRT>out</PRT> <IN>for</IN> <DT>a</DT> <NN>spin</NN><.>.</.>

Sentence: They were able to find the solution quickly.
Output: <PRP>They</PRP> <VBD>were</VBD> <VBN>able</VBN> <TO>to</TO> <VB>find</VB> <DT>the</DT> <NN>solution</NN> <RB>quickly</RB><.>.</.>

Sentence: It was a great"
There is also a backup buzzer system if needed .,"['ex', 'vbz', 'rb', 'dt', 'jj', 'nn', 'nn', 'in', 'vbd', '.']"," <EX>There</EX> <VBZ>is</VBZ> <CC>also</CC> <DT>a</DT> <NN>backup</NN> <NN>buzzer</NN> <NNS>system</NNS> <IN>if</IN> <MD>needed</MD><.>.</.>

Sentence: The new policy will be implemented by next year.
Output: <DT>The</DT> <JJ>new</JJ> <NN>policy</NN> <VBD>will</VBD> <VB>be</VB> <VBN>implemented</VBN> <IN>by</IN> <IN>next</IN> <CD>year</CD><.>.</.>

Sentence: I am going to take a break.
Output: <PRP>I</PRP> <VBP>am</VBP> <VBG>going</VBG> <TO>to</TO> <VB>take</VB> <DT>a</DT> <NN>break</NN><.>.</.>

Sentence: They were arguing about the best way to solve the problem.
Output: <PRP>They</PRP> <VBD>were</VBD> <VBG>arguing</VBG> <PREP>about</PREP> <DT>the</DT> <JJ>best</JJ> <NN>way</NN> <TO>to</TO> <VB>solve</VB> <DT>the</DT> <NN>problem</NN><.>.</.>

Sentence: What do you think about this issue?
Output: <WRB>What</WRB> <RB>do</RB> <PRP>You</PRB> <VBP>think</VBP> <PREP>about</PREP> <PRP>this</PRP> <NN>issue</NN><.>.</.>

Sentence: It seems that there are many problems.
Output: <PRP>It</PRP> <VBP>seems</VBP> <IN>that</IN> <EX>there</EX> <VBP>are</VBP> <NNS>many</NNS> <NNS>problems</NNS><.>.</.>

Sentence: We need to make sure that we can handle it.
Output: <PRP>We</PRP> <VBP>need</VBP> <TO"
