text,label,prediction
"I will address the military aspect , if I may respond . The military aspect of the drug problem is being addressed . As a matter of fact , we are using the Department of Defense in a coordinated effort , in reconnaissance . But I do n't believe that we are going to turn the Department of Defense into a police organization . We are using our military assets in a prudent way to deal with interdiction , and we 've made some success in this area . Seventy tons of cocaine have been stopped . But , you know , when you look at the drug problem - and it is a tremendous problem , and there are no easy solutions to it - it 's a complicated problem , and it 's heading up the effort to try to create a drug - free America , which is a challenge and a goal of all of us . Not only will we utilize national defense and the Department of Defense , but we 've got to get on the demand side of the ledger ; we 've got to get to education . And education ought to begin at home , and it ought to be reinforced in our schools . And there 's another thing that will be more important than the premise of this question on a hypothetical of using troops . We will use the military assets , we will use military assets - but we need to focus on another part of this problem , and that problem is law enforcement . And here is where we have a major disagreement with the governor of Massachusetts . He is opposed to the death penalty for drug kingpins . We believe people convicted of that crime deserve the death penalty , as does the legislation that 's in the Congress that is supported by a bipartisan , including many Democrats of his party . He also was opposed to mandatory drug sentencing for drug dealers in the state of Massachusetts . You can not have a war on drugs , you can not be tough on drugs and weak on crime .","<Claim> I will address the military aspect , if I may respond . </Claim> <Claim> The military aspect of the drug problem is being addressed . </Claim> <Claim> As a matter of fact , we are using the Department of Defense in a coordinated effort , in reconnaissance . </Claim> But <Claim> I do n't believe that we are going to turn the Department of Defense into a police organization . </Claim> <Claim> We are using our military assets in a prudent way to deal with interdiction </Claim> , and <Claim> we 've made some success in this area . </Claim> <Claim> Seventy tons of cocaine have been stopped . </Claim> But, you know, <Claim> when you look at the drug problem </Claim> - and <Claim> it is a tremendous problem </Claim> , and <Claim> there are no easy solutions to it </Claim> - <Claim> it 's a complicated problem </Claim> , and <Claim> it 's heading up the effort to try to create a drug - free America , which is a challenge and a goal of all of us . </Claim> <Claim> Not only will we utilize national defense and the Department of Defense , but we 've got to get on the demand side of the ledger ; </Claim> <Claim> we 've got to get to education . </Claim> And <Claim> education ought to begin at home </Claim> , and <Claim> it ought to be reinforced in our schools . </Claim> And <Claim> there 's another thing that will be more important than the premise of this question on a hypothetical of using troops . </Claim> We will use the military assets, <Claim> we will use military assets </Claim> - but <Claim> we need to focus on another part of this problem , and that problem is law enforcement . </Claim> And <Claim> here is where we have a major disagreement with the governor of Massachusetts . </Claim> <Premise> He is opposed to the death penalty for drug kingpins . </Premise> <Claim> We believe people convicted of that crime deserve the death penalty , as does the legislation that 's in the Congress that is supported by a bipartisan , including many Democrats of his party . </Claim> He also was opposed to mandatory drug sentencing for drug dealers in the state of Massachusetts. <Claim> You can not have a war on drugs </Claim> , <Claim> you can not be tough on drugs and weak on crime . </Claim>","I will address the military aspect, if I may respond. <Claim> The military aspect of the drug problem is being addressed . </Claim> As a matter of fact, <Premise> we are using the Department of Defense in a coordinated effort , in reconnaissance . </Premise> But <Claim> I do n't believe that we are going to turn the Department of Defense into a police organization . </Claim> <Claim> We are using our military assets in a prudent way to deal with interdiction </Claim> , and <Premise> we 've made some success in this area . </Premise> <Premise> Seventy tons of cocaine have been stopped . </Premise> But, you know, when you look at the drug problem - and it is a tremendous problem, and there are no easy solutions to it - it 's a complicated problem, and it 's heading up the effort to try to create a drug - free America, which is a challenge and a goal of all of us. <Claim> Not only will we utilize national defense and the Department of Defense </Claim> , but <Claim> we 've got to get on the demand side of the ledger ; </Claim> <Claim> we 've got to get to education . </Claim> And <Premise> education ought to begin at home , and it ought to be reinforced in our schools . </Premise> And there 's another thing that will be more important than the premise of this question on a hypothetical of using troops. <Claim> We will use the military assets </Claim> , <Claim> we will use military assets </Claim> - but <Claim> we need to focus on another part of this problem </Claim> , and <Premise> that problem is law enforcement . </Premise> And here is where we have a major disagreement with the governor of Massachusetts. <Premise> He is opposed to the death penalty for drug kingpins . </Premise> <Claim> We believe people convicted of that crime deserve the death penalty </Claim> , <Premise> as does the legislation that 's in the Congress that is supported by a bipartisan , including many Democrats of his party . </Premise> <Premise> He also was opposed to mandatory drug sentencing for drug dealers in the state of Massachusetts ."
"Well , I do n't have any idea but I hope it will happen some time in my lifetime .","Well, I do n't have any idea but I hope it will happen some time in my lifetime.","Well, I do n't have any idea but I hope it will happen some time in my lifetime."
"Vice President Pence , I 'm sorry , your time is up - Thank you , Vice President Pence -","Vice President Pence, I 'm sorry, your time is up - Thank you, Vice President Pence -","Vice President Pence, I 'm sorry, your time is up - Thank you, Vice President Pence -"
That 's right .,That 's right.,That 's right.
"Well , I have no idea . I mean , he can throw out all kinds -- I do n't know the particulars of this law . I will tell you I 'm the kind of person , I do n't hire or fire somebody based upon their sexual orientation . As a matter of fact , I would like to take the issue a little further . I do n't really think it 's any of my -- you know , any of my concerns what -- how you conduct your sex life . And I think that 's a private matter . And I think that 's the way it ought to be . But I 'm going to be respectful for people , I 'll tolerate people , and I support equal rights but not special rights for people .","Well, <Claim> I have no idea . </Claim> I mean, he can throw out all kinds -- <Premise> I do n't know the particulars of this law . </Premise> I will tell you <Premise> I 'm the kind of person , I do n't hire or fire somebody based upon their sexual orientation . </Premise> As a matter of fact, I would like to take the issue a little further. <Premise> I do n't really think it 's any of my -- you know , any of my concerns what -- how you conduct your sex life . </Premise> And <Claim> I think that 's a private matter . </Claim> And <Claim> I think that 's the way it ought to be . </Claim> But <Claim> I 'm going to be respectful for people </Claim> , <Claim> I 'll tolerate people </Claim> , and <Claim> I support equal rights but not special rights for people . </Claim>","Well, I have no idea. I mean, he can throw out all kinds -- I do n't know the particulars of this law. I will tell you I 'm the kind of person, I do n't hire or fire somebody based upon their sexual orientation. As a matter of fact, I would like to take the issue a little further. I do n't really think it 's any of my -- you know, any of my concerns what -- how you conduct your sex life. And I think that 's a private matter. And I think that 's the way it ought to be. But I 'm going to be respectful for people, I 'll tolerate people, and I support equal rights but not special rights for people."
Is that right ?,Is that right?,Is that right?
AUDIENCE_QUESTION : Um --,AUDIENCE_QUESTION: Um --,AUDIENCE_QUESTION: Um --
"Well I do n't think that in the winter of sixty - one under present economic conditions , it uh - a - uh - tax uh - increase would be desirable . In fact , it would be deflationary ; it would cause great unemployment ; it would cause a real slowdown in our economy . If it ever becomes necessary , and is wise economically and essential to our security , I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States . I have talked in every speech about the fact that these are going to be very difficult times in the nineteen - sixties and that we 're going to have to meet our responsibilities as citizens . I 'm talking about a national mood . I 'm talking about our willingness to bear any burdens in order to maintain our own freedom and in order to meet our freedom around the globe . We do n't know what the future 's going to bring . But I would not want anyone to elect me uh - president of the United States - or vote for me - under the expectation that life would be easier if I were elected . Now , many of the programs that I 'm talking about - economic growth , care for the aged , development of our natural resources - build the strength of the United States . That 's how the United States began to prepare for its great actions in World War II and in the post - war period . If we 're moving ahead , if we 're providing a viable economy , if our people have sufficient resources so that they can consume what we produce ; then this country 's on the move , then we 're stronger , then we set a better example to the world . So we have the problem of not only building our own uh - military strength and extending uh - our policies abroad , we have to do a job here at home . So I believe that the policies that I recommend came under the general heading of strengthening the United States . We 're using our steel capacity fifty - five per cent today . We 're not able to consume what we 're able to produce at a time when the Soviet Union is making great economic gains . And all I say is , I do n't know what the sixties will bring - except I think they will bring hard times in the uh - international sphere ; I hope we can move ahead here at home in the United States ; I 'm confident we can do a far better job of mobilizing our economy and resources in the United States . And I merely say that they - if they elect me president , I will do my best to carry the United States through a difficult period ; but I would not want people to elect me because I promised them the easy , soft life . I think it 's going to be difficult ; but I 'm confident that this country can meet its responsibilities .","Well <Claim> I do n't think that in the winter of sixty - one under present economic conditions </Claim> , it uh - a - uh - tax uh - <Claim> increase would be desirable . </Claim> <Claim> In fact , it would be deflationary ; </Claim> <Claim> it would cause great unemployment ; </Claim> <Claim> it would cause a real slowdown in our economy . </Claim> <Claim> If it ever becomes necessary , and is wise economically and essential to our security , I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States . </Claim> <Claim> I have talked in every speech about the fact that these are going to be very difficult times in the nineteen - sixties </Claim> and <Claim> that we 're going to have to meet our responsibilities as citizens . </Claim> <Premise> I 'm talking about a national mood . </Premise> <Premise> I 'm talking about our willingness to bear any burdens in order to maintain our own freedom and in order to meet our freedom around the globe . </Premise> <Claim> We do n't know what the future 's going to bring . </Claim> But <Claim> I would not want anyone to elect me </Claim> uh - <Claim> president of the United States </Claim> - or vote for me - <Claim> under the expectation that life would be easier if I were elected . </Claim> Now, <Premise> many of the programs that I 'm talking about </Premise> - economic growth, care for the aged, development of our natural resources - <Premise> build the strength of the United States . </Premise> <Claim> That 's how the United States began to prepare for its great actions in World War II and in the post - war period . </Claim> <Claim> If we 're moving ahead , if we 're providing a viable economy , if our people have sufficient resources so that they can consume what we produce ; then this country 's on the move , then we 're stronger , then we set a better example to the world . </Claim> So <Claim> we have the problem of not only building our </Claim> own uh - military strength and extending uh - our <Claim> policies abroad , we have to do a job here at home . </Claim> So <Claim> I believe that the policies that I recommend came under the general heading of strengthening the United States . </Claim> <Premise> We 're using our steel capacity fifty - five per cent today . </Premise> <Claim> We 're not able to consume what we 're able to produce at a time when the Soviet Union is making great economic gains . </Claim> And all I say is, <Claim> I do n't know what the sixties will bring </Claim> - <Claim> except I think they will bring hard times in the </Claim> uh - <Claim> international sphere ; </Claim> <Claim> I hope we can move ahead here at home in the United States ; </Claim> <Claim> I 'm confident we can do a far better job of mobilizing our economy and resources in the United States . </Claim> And <Claim> I merely say that </Claim> they - <Claim> if they elect me president , I will do my best to carry the United States through a difficult period ; </Claim> but <Claim> I would not want people to elect me because I promised them the easy , soft life . </Claim> <Claim> I think it 's going to be difficult ; </Claim> but <Claim> I 'm confident that this country can meet its responsibilities . </Claim>","think that in the winter of sixty - one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable. In fact, it would be deflationary; it would cause great unemployment; it would cause a real slowdown in our economy. If it ever becomes necessary, and is wise economically and essential to our security, I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States. I have talked in every speech about the fact that these are going to be very difficult times in the nineteen - sixties and that we 're going to have to meet our responsibilities as citizens. I 'm talking about a national mood. I 'm talking about our willingness to bear any burdens in order to maintain our own freedom and in order to meet our freedom around the globe. We do n't know what the future 's going to bring. But I would not want anyone to elect me uh - president of the United States - or vote for me - under the expectation that life would be easier if I were elected. Now, many of the programs that I 'm talking about - economic growth, care for the aged, development of our natural resources - build the strength of the United States. That 's how the United States began to prepare for its great actions in World War II and in the post - war period. If we 're moving ahead, if we 're providing a viable economy, if our people have sufficient resources so that they can consume what we produce; then this country 's on the move, then we 're stronger, then we set a better example to the world. So we have the problem of not only building our own uh - military strength and extending uh - our policies abroad, we have to do a job here at home. So I believe that the policies that I recommend came under the general heading of strengthening the United States. Well I do n't think that in the winter of sixty - one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable."
"Well , I wondered , when Governor Clinton was talking to the auto workers , whether he talked about his and Senator Gore 's favoring CAFE standards , fuel efficiency standards , of 40 miles per gallon . That would break the auto industry and throw a lot of people out of work . As regarding Mr. Perot , I take back something I said about him . I once said , in a frivolous moment , when he got out of the race : If you ca n't stand the heat , buy an air conditioning company . And I take it back , because I think -- he said he made a mistake . And the thing I find is if I make a mistake , I admit it . I 've never heard Governor Clinton make a mistake . But one mistake he 's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work , and you ca n't have it both ways . There 's a pattern here of appealing to the auto workers and then trying to appeal to the spotted owl crowds or the extremes in the environmental movement . You ca n't do it as president : you ca n't have a pattern of one side of the issue one day and another the next . So my argument is not with Ross Perot ; it is more with Governor Clinton .","Well, I wondered, <Premise> when Governor Clinton was talking to the auto workers , whether he talked about his and Senator Gore 's favoring CAFE standards , fuel efficiency standards , of 40 miles per gallon . </Premise> <Claim> That would break the auto industry and throw a lot of people out of work . </Claim> As regarding Mr. Perot, I take back something I said about him. I once said, in a frivolous moment, when he got out of the race: If you ca n't stand the heat, buy an air conditioning company. And I take it back, because I think -- he said he made a mistake. And the thing I find is if I make a mistake, I admit it. I 've never heard Governor Clinton make a mistake. But <Claim> one mistake he 's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work </Claim> , and <Claim> you ca n't have it both ways . </Claim> <Premise> There 's a pattern here of appealing to the auto workers and then trying to appeal to the spotted owl crowds or the extremes in the environmental movement . </Premise> <Claim> You ca n't do it as president </Claim> : <Claim> you ca n't have a pattern of one side of the issue one day and another the next . </Claim> So my argument is not with Ross Perot; it is more with Governor Clinton.","Well, I wondered, when Governor Clinton was talking to the auto workers, whether he talked about his and Senator Gore 's favoring CAFE standards, fuel efficiency standards, of 40 miles per gallon. <Claim> That would break the auto industry and throw a lot of people out of work . </Claim> As regarding Mr. Perot, I take back something I said about him. I once said, in a frivolous moment, when he got out of the race: <Premise> If you ca n't stand the heat , buy an air conditioning company . </Premise> And I take it back, because I think -- <Premise> he said he made a mistake . </Premise> And the thing I find is <Claim> if I make a mistake , I admit it . </Claim> <Claim> I 've never heard Governor Clinton make a mistake . </Claim> But <Claim> one mistake he 's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work </Claim> , and <Claim> you ca n't have it both ways . </Claim> <Claim> There 's a pattern here of appealing to the auto workers and then trying to appeal to the spotted owl crowds or the extremes in the environmental movement . </Claim> <Claim> You ca n't do it as president : you ca n't have a pattern of one side of the issue one day and another the next . </Claim> So <Claim> my argument is not with Ross Perot ; </Claim> <Claim> it is more with Governor Clinton . </Claim>"
"That 's an interruption , okay . But anyhow , you just did it so now --","That 's an interruption, okay. But anyhow, you just did it so now --","That 's an interruption, okay. But anyhow, you just did it so now --"
