link_type,linked,text
0,1,I hired an accountant who had been with our family for well over forty years. [SEP] He was filling our those ethics form
2,0,We're not going to support the $300 billion tax cut that they have for corporate America and the very wealthy. [SEP] It didn't meet my test
2,0,"we all committed ourselves, as have all my predecessors in the Oval Office not to permit the spread of nuclear weapons to a terrorist nation, or to any other nation that does not presently have those weapons or capabilities for explosives. [SEP] I don't think so"
0,1,"When I ran for president, I said we'd cut the deficit in half in four years. [SEP] we cut it by 60 percent"
2,0,Those are the people who in the 1980s had their incomes go up while their taxes went down. [SEP] I can make the hard decisions
2,0,"We're really going to get out in the trenches and say, ""Is this one you want to talk about or fix?"" [SEP] Because talk won't do it, folks. [SEP] I believe in the balanced budget."
2,0,we've got to keep taxes low. [SEP] he says the cornerstone of his plan to succeed in Iraq is to call upon nations to serve
2,0,They're reliable friends in the future. [SEP] I believe what you need to do is some of what Ross is talking about: control the growth of mandatory spending and get taxes down
2,0,we're not. [SEP] We have to also stand by our allies
2,0,"the first time we went in, we went in at their request because the war was going on right in Beirut between Israel and the PLO terrorists. [SEP] to produce the traditional kinds of American energy"
2,0,I did answer the question. [SEP] This is the first time that I've - remember in the history of our country when we've let a foreign country circumvent or change our Bill of Rights
2,0,We want security. [SEP] then somehow you're also going to deal with the deficit that we've already got
2,0,Vice President George Bush is going to recreate the Space Council. [SEP] I think it's important for the president to set a tone that says all of us are going to contribute
0,1,there is no ratio between taxing and balancing a budget. [SEP] unless and until you bring down government's share of what it is taking
2,0,I'm going to put in place a better homeland security effort. [SEP] the first Civil Rights Act legislation we would send to Congress would be a national ban on racial profiling
0,1,I was deeply concerned about seniors having to choose between prescription drugs and food. [SEP] I came to Washington to solve problems
2,0,"no, I'm for the sanctity of life. [SEP] I will not agree to any production restrictions -- or agreements, unless we have the ability to verify those agreements"
2,0,I don't just talk about it. [SEP] I'm not going to be the kind of president that says you get tax relief and you don't
0,1,we haven't met our problems in the United States. [SEP] I believe that the polls and other studies and votes in the United Nations and anyone reading the paper and any citizen of the United States must come to the conclusion that the United States no longer carries the same image of a vital society on the move with its brightest days ahead as it carried a decade or two decades ago
0,1,my comprehensive immigration reform plan of course includes border security. [SEP] I voted for border security
0,1,It's about litigation reforms. [SEP] it's a six-point package
0,1,They do have stakes in it. [SEP] what we need now is a president who understands how to bring these other countries together to recognize their stakes in this
1,1,"I respect the belief about life and when it begins. [SEP] I can't take what is an article of faith for me and legislate it for someone who doesn't share that article of faith, whether they be agnostic, atheist, Jew, Protestant, whatever"
2,0,"I love this country. [SEP] This year the Republican Congress, as far as student loans went from 24 billion to 36 billion over the next six years"
0,1,we are winning in Iraq. [SEP] we will come home with victory and with honor
0,1,what we're looking for with respect to environmental policy and energy policy is balance. [SEP] the suggestion that somehow all we care about is energy development isn't true
2,0,one of the things that the Vice President either ignores or won't address is the fact that you can't divorce our military security from our economic security. [SEP] pay for it out of a federal fund
0,1,"independent studies have looked at our respective plans and have concluded that I provide three times the amount of tax relief to middle-class families than Senator McCain does. [SEP] I want to provide a tax cut for 95 percent of working Americans, 95 percent"
2,0,"These uh - kinds of specific things, uh none of which are being done now, would be a great help in - in reducing uh unemployment. [SEP] They didn't get the tanks from this administration"
0,1,Come on. [SEP] Don’t worry about it
0,1,Everybody ought to be in this thing. [SEP] we have got to instill values in these young people
2,0,He voted against funding for Meals on Wheels for seniors. [SEP] It's in spite of their opposition
0,1,I've got two daughters. [SEP] I want to make sure that they have the same opportunities that anybody's sons have
2,0,"I think, joining with our allies and friends in a league of democracies, that we can effectively abridge their behavior. [SEP] It's time for a fresh star"
0,1,I think we're all in this together. [SEP] I think we're all in this together
0,1,"if you look at what’s happening with the voting right now, they remember that you treated them very, very badly.. [SEP] They remember it"
0,1,"there was some very interesting testimony given by Governor Carter's successor, Governor Busby, before a Senate committee a few uh - months ago on how he found the Medicaid program when he came into office following Governor Carter. [SEP] I think our record of cutting back employees, plus the failure on the part of the Governor's programs to actually save employment in Georgia, shows which is the better plan"
0,1,"I'm certain many, many Americans were turned off by the revelations of Watergate. [SEP] I believe that the uh - American people have been turned off in this election, uh - Mr. Maynard, for a variety of reasons"
2,0,"All of that would be lost if we followed Senator Obama's plan to have specific dates with withdrawal, regardless of conditions on the ground. [SEP] Let's have a three-day waiting period"
0,1,"When you guard the oil ministry. [SEP] the message to a lot of people is maybe, ""Wow, maybe they're interested in our oil."""
0,1,you've got to credit. [SEP] Small business--you've got to have capital
2,0,"I'm absolutely, adamently opposed to that. [SEP] we always have to stand up for democracy"
0,1,We've got to get after the users more. [SEP] We have to change this whole culture
0,1,I know they're all for education in science and training. [SEP] I think the American people want to make certain that that dollar is wisely spent
0,1,He's for letting the oil companies into the Arctic National Wildlife Refuge. [SEP] we disagree on this
0,1,I think it could be a greater country. [SEP] I am not satisfied as an American with the progress that we're making.
2,0,"A $10,000 tax deduction for college tuition for those who go further. [SEP] I'm looking at our economic plan"
2,0,"If the uh - list was, uh - in my opinion, fairly uniform. [SEP] You don't test every year"
0,1,we are bleeding arterially. [SEP] Our challenge is to stop the financial bleeding
0,1,"we have insisted upon the control of the spread of nuclear weapons to those potentially terrorist countries. [SEP] In countries like Libya or Iraq, we have even alienated some of our closest trade partners"
2,0,It's three times bigger than what President Clinton proposed. [SEP] the follow on to Camp David under the umbrella of the Reagan September of 1982 initiative
2,0,I spent a year-and-a-half putting together a coalition that included Russia and China to impose the toughest sanctions on Iran. [SEP] Joe Biden does
0,1,I am for licensing by states of new handgun purchases. [SEP] I'm not for registration
2,0,one of the magnificent things about this country is the whole idea that states are the laboratories of democracy. [SEP] I do not believe we should have either compulsory arbitration or seizure
2,0,"We've had a lot of other presidents who didn't wear their country's uniform who had to order our young soldiers into battle, including President Wilson and President Roosevelt. [SEP] in almost every category they're lagging"
0,1,it costs more to keep them in prison than it does to send them to Harvard. [SEP] Cheapest money you'll ever spend
2,0,"That's money in your pocket. [SEP] tell our kids that before they have babies, they ought to think about getting married to someone"
2,0,You go into the inner cities and—you see it’s 45 percent poverty. [SEP] I didn't say we had the worst education in the world
0,1,"I vetoed that bill. [SEP] it won't be possible to do, if his tax scheme passes"
0,1,It's a lot more than $18 billion in pork-barrel spending. [SEP] I want to cut it so that businesses will remain in -- in the United States of America and create jobs
2,0,We would be pushing very hard to open up those markets and stand up for the American farmer and see that we recapture those foreign markets. [SEP] They will know whether we used those weapons or not
2,0,now less than a third of our people can afford to buy their own homes. [SEP] we've got to be tough
2,0,I've been a tolerant person all my life. [SEP] there's an awful lot of evidence that there hasn't been any bipartisan leadership out of this administration or Al Gore
0,1,"I just don't think it's the role of the United States to walk into a country and say, â€œwe do it this way, so should you. [SEP] I'm not so sure the role of the United States is to go around the world and say this is the way it's got to be"
0,1,I believe in a balanced budget and have supported that concept during my fourteen years in the Congress. [SEP] I believe that the next Administration should work for a balanced budget
0,1,Many people are predicting a recession. [SEP] the result is exactly what we see
2,0,back then we had planes that couldn't fly for lack of spare parts or pilots. [SEP] You ain't seen nothing yet
2,0,"So I am very committed to taking classified information seriously. [SEP] what I'm talking about is not putting government back to getting less money than government's been getting, but simply cutting the increase in in spending"
0,1,Who has been the person who has tried to keep spending under control. [SEP] I've fought to simplify it
2,0,"Just to give people a shot.. we can't simply we've got enough nuclear weapons, let's freeze"
0,1,it's an overall sign of weakness. [SEP] this encourages the kind of pressure that's been put on us successfully
0,1,Senator McCain likes to talk about earmarks a lot. [SEP] We do need to look at our records
0,1,"You pay $500 for a $5 hammer, you're not buying strength. [SEP] you'll not do that unless you command that budget and make certain we get the strength that we need"
2,0,We have met your sons and daughters. [SEP] We proposed and passed a healthy forest bill which was essential to working with -- particularly in Western states -- to make sure that our forests were protected
0,1,"Under my plan, they get $1800 of tax relief. [SEP] if you're a family of four making $50,000 in Massachusetts, you get a 50% tax cut"
0,1,75 percent of businesses who have been -- had experience with it say they like it. [SEP] It works
0,1,"I interpret that as, one, making sure that those people who are less fortunate and can't care for themselves are cared by -- by one another. [SEP] We're a nation that believes that we're all children of the same god and we care for those that have difficulties, those that are elderly and have problems and challenges, those that are disabled"
0,1,"remember when he said, ""I promise by the end of my first term I'll cut the deficit in half in four years"". [SEP] Look at all the string of broken promises"
0,1,Social Security is a tax. [SEP] The people pay it
0,1,"Teachers' salaries very fortunately have gone up fifty percent in the last eight years as against only a thirty-four percent rise for other salaries.. [SEP] I believe, in other words, that we have seen the local communities and the state assuming more of that responsibility."
2,0,We will suffer more casualties in the next conflict if we don't look to those basic fundamental problems now. [SEP] We also need to continue to index Social Security payments
2,0,"The people need to take their government back. [SEP] We had the worst financial crisis, the Great Recession, the worst since the 1930s"
0,1,maybe he's not as rich as he says he is. [SEP] I think there may be a couple of reasons
2,0,"He twisted arms and got six Democrats to vote with him and lost by one vote. [SEP] When it comes to community colleges, we are setting up programs, including with Nassau Community College, to retrain workers"
1,1,"the fact of the matter is that some of the prescriptions that he's offered, like letting you buy insurance across state lines. [SEP] there's no indication that that somehow is going to help somebody who's got a pre-existing condition be able to finally buy insurance"
0,1,I worry about with the president is that he's not acknowledging what's on the ground. [SEP] certainty sometimes can get you in trouble
0,1,"I saw the agreement that Prime Minister Rabin and Yassir Arafat signed on the West Bank. [SEP] I believe if the parties will get together and in a good-faith manner make that agreement, that they'll be able to do it if we cannot impose a peace on the Middle East"
2,0,The president blocked it. [SEP] it's evolving in favor of life
2,0,That wasn't my ad. [SEP] He also wants to continue the Bush tax cuts for the wealthiest Americans
2,0,that drives our friends to the south up into our region. [SEP] I can't tell how proud I am of her and her family
0,1,"We've got to grow enough to maintain the forces that we have abroad and to wage the non-military battle for the war - uh - for the world in Asia, in Africa and Latin America. [SEP] that isn't good enough"
0,1,he voted against funding the troops. [SEP] He turned around under political pressure
0,1,"I am sure of my facts,. [SEP] I'm not going to be found wrong on that."
2,0,All 50 states did it. [SEP] my record is there
0,1,"I, first of all, oppose an election year tax cut. [SEP] I think we've got to have fiscal restraint"
2,0,We don't believe in denominationally moving in.. Labels don't mean anything
0,1,the security arrangements were not in. [SEP] the president said: I assume responsibility
2,0,"America is back in terms of military strength, in terms of our ability to deter aggression and keep the peace. [SEP] except they didn't ever go on and define what a qualified mortgage was."
0,1,we need to do is to go back to the very same policies that got us there. [SEP] we have fought back for four years to get out of that mess
0,1,"coordinating with Turkey and other countries in the region that have a great interest in this. [SEP] ultimately, Syrians are going to have to determine their own future"
2,0,"And not only expensive for the person that has it, unbelievably expensive for our country.. it didn't stop him from endorsing the sale of arms to the Ayatollah"
2,0,I think Congress is hungry for someone who will work with them instead of manipulate them. [SEP] I think it's good public policy
1,1,we've got to keep going forward without killing off the engine and throwing people out of work. [SEP] I do not want to see us mandate across the board that every company has to do this
2,0,give people like you and our families the power to give those values to our children. [SEP] we've got a good record.
0,1,"we're bringing GDP from, really, 1 percent, which is what it is now. [SEP] I say they're wrong"
2,0,"They don't like the use of the word, but may I remind his strong supporters that only last year in the primary, to capture that Democratic nomination, he said, ""I am a progressive liberal Democrat."". [SEP] We've got to be a nation blessed with a defense capability that's efficient, tough, capable, well organized, narrowly focused - fighting capability"
2,0,The first half of '84 it's up 8\1/2\ percent. [SEP] won't work
0,1,they get health care. [SEP] We've spent $4.7 billion a year in the State of Texas for uninsured people
2,0,more than just $120 billion for Iraq and Afghanistan. [SEP] Reductions of that kind will not permit the United States to be strong enough to deter aggression and maintain the peace
