text,label,label_value,prediction,predictions_text
That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support

Sentence: The president of the United States has been criticized for his handling of the COVID-19 pandemic [SEP] he has been accused of downplaying the severity of the virus
Output: attack

"
it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support

Sentence: The United States has been accused of spying on its allies [SEP] The United States has been caught spying on its allies
Output: attack

Sentence: The United States has a strong military presence"
we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support

Sentence: The Berlin Wall was built to keep people out, not in [SEP] The Berlin Wall was a symbol of division, not unity
Output: attack

Sentence: The Berlin Wall was built to keep people"
I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support

Sentence: The United States has no business interfering in the internal affairs of other countries [SEP] The United States has no business interfering in the internal affairs of other countries
Output: no_relation

"
It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support

Sentence: The president's policies are a disaster [SEP] The president's policies are not working
Output: attack

Sentence: The new policy is a good idea [SEP] The new policy is"
I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support

Sentence: The President's decision to send troops to the Middle East [SEP] It is a reckless move that will only lead to more violence and instability
Output: attack

Sentence: I'm"
I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support

Sentence: The Soviet Union has no intention of interfering in the internal affairs of West Berlin [SEP] But it reserves the right to take action if the Western powers violate the agreements
Output: no_relation
"
I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support

Sentence: The United States has been a long-time ally of Japan [SEP] But the U.S. should stop providing military aid to Japan
Output: attack

Sentence: The Prime Minister of India"
it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war
Output: attack

Sentence: I think the Democrats are too soft on crime [SEP] but I don't think that's a bad thing
Output: no_relation

Sentence: The Republicans are trying to cut funding for"
we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy
Output: no_relation

Sentence: the president's policies are reckless and dangerous [SEP] the opposition party believes they will lead to economic instability
Output: attack

Sentence: the new policy is a step in the"
We got rid of that [SEP] We had a war when we came into power in 1953,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: We got rid of that [SEP] We had a war when we came into power in 1953
Output: attack

Sentence: I'm not sure about that [SEP] I've never heard of it before
Output: no_relation

Sentence: I agree with your point [SEP] I think it's"
We got rid of that [SEP] that doesn't indicate that we're trigger-happy,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: We got rid of that [SEP] that doesn't indicate that we're trigger-happy
Output: no_relation

Sentence: The new policy is a direct attack on our rights [SEP] The new policy is a direct attack on our rights
Output: attack, attack

Sentence: I don't think the new"
the rights of people there to be free [SEP] there isn't any question about the necessity of defending Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: the rights of people there to be free [SEP] there isn't any question about the necessity of defending Berlin
Output: support

Sentence: the government is trying to take away our rights [SEP] the government is not our friend
Output: attack

Sentence: the government is trying to take away our rights [SEP] the government is"
