text,label,label_value,prediction,predictions_text
"There is no doubt that the flow of heavy weapons across those borders, in violation of the territorial integrity and sovereignty of Ukraine, has given the separatists the fire power and the confidence to escalate the conflict. [SEP] with the ongoing fighting, the fast-approaching winter season and the current gas shortage in Ukraine,",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: There is no doubt that the flow of heavy weapons across those borders, in violation of the territorial integrity and sovereignty of Ukraine, has given the separatists the fire power and the confidence to escalate the conflict. [SEP] with the ongoing fighting, the fast-approaching winter season and the current gas shortage in Ukraine,
Output: no_relation

Sentence: The United States has been a strong supporter of Ukraine's territorial integrity and sovereignty. [SEP] The United States has also been a strong supporter of Israel's territorial"
"We appeal to all those in a position to influence those responsible for their horrendous acts, in particular to Russia, to, in accordance with its status as a signatory to the Minsk accords and to the joint Berlin declaration of 21 January, as well as a member of the OSCE trilateral contact group, and in exercise of its responsibility of the Security Council, contribute to de-escalate the tensions and compel the rebel groups to renounce violence and accept the peaceful and lawful path to pursue their claims. [SEP] That is what happens when the rule-based system is attacked.",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: We appeal to all those in a position to influence those responsible for their horrendous acts, in particular to Russia, to, in accordance with its status as a signatory to the Minsk accords and to the joint Berlin declaration of 21 January, as well as a member of the OSCE trilateral contact group, and in exercise of its responsibility of the Security Council, contribute to de-escalate the tensions and compel the rebel groups to renounce violence and accept the peaceful and lawful path to pursue their claims. [SEP] That is what happens when the rule-based system is attacked.
Output: attack

Sentence: I think the new policy is a good idea. [SEP] What do you think about the new policy?
Output: support

Sentence: I don't see any connection between the two. ["
We have reached such moment. [SEP] Let this tragedy at least serve as a warning to all the parties.,2,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: We have reached such moment. [SEP] Let this tragedy at least serve as a warning to all the parties.
Output: support

Sentence: I'm not sure if you're aware, but you've been making a lot of mistakes lately. [SEP] I think it's time for you to step down.
Output: attack
"
"Among this, we have heard the usual pattern of Russian denials and misinformation. [SEP] We reiterate our call for the de-escalation of tensions and for restraint on all sides, fully in keeping with the joint statement adopted on 17 April in Geneva by the chief diplomats of Ukraine, Russia, the United States and the European Union.",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Among this, we have heard the usual pattern of Russian denials and misinformation. [SEP] We reiterate our call for the de-escalation of tensions and for restraint on all sides, fully in keeping with the joint statement adopted on 17 April in Geneva by the chief diplomats of Ukraine, Russia, the United States and the European Union.
Output: no_relation

Sentence: The Russian military has been amassing troops on the border with Ukraine for weeks. [SEP] The Ukrainian government has accused Russia of planning to invade.
Output: attack

Sentence"
"""The bloody murder of dozens of civilians and injuries to almost 100 people by pro-Russian terrorists in Mariupol not only constitute a terrorist attack, they are a crime against humanity, and thus an issue to be considered by the tribunal in The Hague"". [SEP] Russia refuses to grant Ukrainian consular access",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: ""The bloody murder of dozens of civilians and injuries to almost 100 people by pro-Russian terrorists in Mariupol not only constitute a terrorist attack, they are a crime against humanity, and thus an issue to be considered by the tribunal in The Hague"". [SEP] Russia refuses to grant Ukrainian consular access
Output: attack, no_relation

Sentence: ""The United States has imposed sanctions on Russia for its actions in Ukraine"". [SEP] Russia is a member of the United Nations
Output: no_relation

Sentence: """
"Russia must withdraw all its support to separatists, remove all its military forces and assets from Ukrainian territory, respect Ukraine's borders, observe its obligations under the Minsk agreements and engage in genuine dialogue with Ukraine. [SEP] there is a clear path towards an end to the violence in eastern Ukraine.",2,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Russia must withdraw all its support to separatists, remove all its military forces and assets from Ukrainian territory, respect Ukraine's borders, observe its obligations under the Minsk agreements and engage in genuine dialogue with Ukraine. [SEP] there is a clear path towards an end to the violence in eastern Ukraine.
Output: support

Sentence: The United States has been a long-time supporter of Israel, but it is time for the U.S. to stop its support for Israel's occupation of Palestinian territories. [SEP] The U"
"Immediately after the February uprising, Kyiv began to call dissenters ""bandits"" and ""terrorists"", and then ""subhumans"" and ""insects"". [SEP] but by sending its special agents to Ukraine to effect diversions and sabotage",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Immediately after the February uprising, Kyiv began to call dissenters ""bandits"" and ""terrorists"", and then ""subhumans"" and ""insects"". [SEP] but by sending its special agents to Ukraine to effect diversions and sabotage
Output: attack

Sentence: The United States has been a strong ally of Ukraine since the collapse of the Soviet Union. [SEP] and the United States has provided Ukraine with military aid and political support
Output: support

Sentence"
"From the very beginning, the Kyiv authorities have made no secret of the fact that the ceasefire would be used for a realignment of forces and the pursuit of military activities. [SEP] All four tank factories are working three shifts.",2,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: From the very beginning, the Kyiv authorities have made no secret of the fact that the ceasefire would be used for a realignment of forces and the pursuit of military activities. [SEP] All four tank factories are working three shifts.
Output: no_relation

Sentence: The Ukrainian government has accused Russia of supplying weapons to the separatists. [SEP] The Ukrainian government has accused Russia of supplying weapons to the separatists. The Ukrainian government"
Their lives were cut off in the middle of a crisis on which this very Council has been unable to take action since it began in February. [SEP] We must halt this course of confrontation and work towards de-escalation.,1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Their lives were cut off in the middle of a crisis on which this very Council has been unable to take action since it began in February. [SEP] We must halt this course of confrontation and work towards de-escalation.
Output: attack, no_relation

Sentence: The United Nations Security Council has been unable to take action on the crisis in Yemen. [SEP] The United States has been providing support to the Saudi-led coalition fighting the Houthi"
Instability is frozen. [SEP] They are terrorists and they are called by that name,1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Instability is frozen. [SEP] They are terrorists and they are called by that name
Output: attack

Sentence: The government is not responsible for the economic crisis. [SEP] The government is responsible for the economic crisis
Output: support

Sentence: The new policy is not good. [SEP] The new"
