text,ner_tags,response
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","vbg in dt nnp in nnp nnp nnp in nnp nnp , nnp .","Good_evening from the <tag>University of Miami Convocation Center</tag> in <tag>Coral Gables</tag> , <tag>Florida</tag> ."
I 'm Jim Lehrer of The NewsHour on PBS .,prp vbp nnp nnp in dt nn in nnp .,I 'm <NNP>Jim Lehrer</NNP> of <NNP>The NewsHour</NNP> on <NNP>PBS</NNP> .
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","cc prp vbp prp to dt jj in dt cd jj nns in nnp nnp nnp nnp , dt jj nn , cc nnp nnp nnp , dt jj nn .","And I welcome <tag>you</tag> to the <tag>the first of the 2004 presidential debates</tag> between <tag>President George W. Bush</tag> , the <tag>Republican nominee</tag> , and <tag>Senator John Kerry</tag> , the <tag>Democratic nominee</tag> ."
These debates are sponsored by the Commission on Presidential Debates .,dt nns vbp vbn in dt nnp in nnp nns .,These debates are sponsored by the <tag>Commission on Presidential Debates</tag>.
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","nnp pos md vb cd nns , vbg jj nns in nn vbn rp in nns in dt nns .","Tonight <tag> 's </tag> will last <tag> 90 </tag> minutes , following detailed rules of engagement worked out by <tag> representatives of the candidates </tag> ."
I have agreed to enforce rules on them .,prp vbp vbn to vb nns in prp .,I have agreed to enforce <tag>rules</tag> on <tag>them</tag> .
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","dt nn nn vbz jj nn cc nn nn , cc dt jj nns vbd vbn in prp , dt nns vbd vbn in prp , dt nns vbp rb vbn vbn wp prp vbp , cc vbz nn rb .","The <tag>umbrella topic</tag> is <tag>foreign policy</tag> and <tag>homeland security</tag> , but the <tag>specific subjects</tag> were chosen by <tag>me</tag> , the <tag>questions</tag> were composed by <tag>me</tag> , the <tag>candidates</tag> have not been told what they are , nor has <tag>anyone else</tag> ."
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","in dt nn ex md rb vb dt jj nn , dt cd : jj nn cc , in nn , dt nn nn in cd nn .","For each question there can only be a <tag>two-minute</tag> response , a <tag>90 - second</tag> rebuttal and , at discretion , a discussion extension of <tag>one minute</tag> ."
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","dt jj nn md vb in wrb cd nns vbp in dt vbn nn , jj in cd , jj in cd nns , cc rb vbg jj nns nn vbz rb .","A <tag>green light</tag> will come on when <tag>30 seconds</tag> remain in any given answer , <tag>yellow</tag> at <tag>15</tag> , <tag>red</tag> at <tag>five seconds</tag> , and then flashing <tag>red</tag> means time 's up ."
There is also a backup buzzer system if needed .,ex vbz rb dt jj nn nn in vbd .,There is also a <tag>backup buzzer system</tag> if needed .
Candidates may not direct a question to each other .,nns md rb vb dt nn to dt jj .,Candidates<NNP> may<MD> not<RB> direct<VB> a<DT> question<NN> to<TO> each<DT> other<PRP> .</PUNCT>
"There will be two-minute closing statements , but no opening statements .","ex md vb jj nn nns , cc dt vbg nns .","There will be <tag>two-minute</tag> closing statements , but no opening statements ."
