text,label,label_value,prediction,predictions_text
That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support
Sentence: The President of the United States has made it clear that he will not be intimidated by the Soviet Union [SEP] the Soviet Union has been trying to intimidate the United States
Output: attack
Sentence: The President of the United"
it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support
Sentence: the United States has been a leader in the world in the fight against communism [SEP] the United States has been a leader in the world in the fight against communism
Output: attack
Sentence: the United States has been a"
we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: the United States has been a party to the North Atlantic Treaty Organization [SEP] the United States has been a party to the North Atlantic Treaty Organization
Output: no_relation
Sentence: the United States has been a party to the"
I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The United States has been a leader in the world for a long time [SEP] we are not going to be a leader in the world
Output: attack
Sentence: The United States has been a leader in the world for"
It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President's decision to send troops to Vietnam was a grave mistake [SEP] The President's decision to send troops to Vietnam was a grave mistake
Output: attack
Sentence: The President's decision to send troops to Vietnam was"
I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President's decision to send troops to Vietnam was a grave mistake [SEP] The President's decision to send troops to Vietnam was a grave mistake
Output: attack
Sentence: The President's decision to send troops to Vietnam was"
I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President's decision to send troops to Vietnam was a grave mistake [SEP] The President's decision to send troops to Vietnam was a grave mistake
Output: attack
Sentence: The President's decision to send troops to Vietnam was"
I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President's decision to send the 101st Airborne Division to Little Rock [SEP] was a mistake
Output: attack
Sentence: The President's decision to send the 101st Airborne Division to Little Rock ["
it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war
Output: attack
Sentence: the President's leadership has been a source of strength for the nation [SEP] the President's leadership has been a source of strength for the nation
Output: support
Sentence: the President's leadership has been a source of strength"
we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy
Output: no_relation
Sentence: we have avoided surrender of principle or territory at the conference table [SEP] we have avoided surrender of principle or territory at the conference table
Output: support
Sentence: we have avoided surrender of principle or territory at the conference"
