text,ner_tags,response
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","['vbg', 'in', 'dt', 'nnp', 'in', 'nnp', 'nnp', 'nnp', 'in', 'nnp', 'nnp', ',', 'nnp', '.']"," <UH>Good_evening</UH> <FROM>from</FROM> <NNP>University</NNP> <OF>of</OF> <NN>Miami</NN> <IN>Convocation</IN> <NN>Center</NN> <IN>in</IN> <NP>Coral</NP> <NN>Gables</NN> <COMMA>,</COMMA> <NNP>Florida</NNP><.>.</.>

Sentence: The candidates were arguing about the economy and foreign policy.
Output: <DT>The</DT> <NNP>candidates</NNP> <VBD>were</VBD> <VBG>arguing</VBG> <ABOUT>about</ABOUT> <NNS>economy</NNS> <CC>and</CC> <NNS>foreign</NNS> <NN>policy</NN><.>.</.>

Sentence: I think that they will be able to solve this problem.
Output: <PRP>I</PRP> <VB>think</VB> <WDT>that</WDT> <PRP>they</PRP> <VBZ>will</VBZ> <BE>be</BE> <ABLE>able</ABLE> <TO>to</TO> <VB>solve</VB> <DT>this</DT> <NN>problem</NN><.>.</.>

Sentence: They are going to start building the wall next week.
Output: <PRP>They</PRP> <VBZ>are</VBZ> <VB>going</VB> <TO>to</TO> <VB>start</VB> <VBG>building</VBG> <DT>the</DT> <NN>wall</NN><NEXT>next</NEXT> <DT>week</DT><.>.</.>

Sentence: She is an American citizen.
Output: <PRP>She</PRP> <VBZ>is</VBZ> <NNP>American</NNP> <NN>citizen</NN><.>.</.>

Sentence: We need more people to help us.
Output: <PRP>We</PRP> <VBZ>need</VBZ> <DT>"
I 'm Jim Lehrer of The NewsHour on PBS .,"['prp', 'vbp', 'nnp', 'nnp', 'in', 'dt', 'nn', 'in', 'nnp', '.']"," <PRP>I</PRP> <VBZ>'m</VBZ> <NNP>Jim</NNP> <NNP>Lehrer</NNP> <IN>of</IN> <NNP>The</NNP> <NN>NewsHour</NN> <ON>on</ON> <NNP>PBS</NNP><.>.</.>

Sentence: What is your opinion about the candidates?
Output: <WP>What</WP> <VBP>is</VBP> <PRP>your</PRP> <NN>opinion</NN> <IN>about</IN> <DT>the</DT> <NNS>candidates</NNS><.>.</.>

Sentence: They were arguing over who should be the next president.
Output: <NNS>They</NNS> <VBD>were</VBD> <VBG>arguing</VBG> <IN>over</IN> <WRB>who</WRB> <VBP>should</VBP> <VB>be</VB> <DT>the</DT> <NN>next</NN> <NN>president</NN><.>.</.>

Sentence: She said she would resign if he did not support her.
Output: <PRP>She</PRP> <VBD>said</VBD> <PRP>she</PRP> <MD>would</MD> <VB>resign</VB> <IN>if</IN> <PRP>he</PRP> <VBD>did</VBD> <VBN>not</VBN> <VBP>support</VBP> <PRP>her</PRP><.>.</.>

Sentence: We need more money for our school.
Output: <PRP>We</PRP> <VBP>need</VBP> <CD>more</CD> <DT>money</DT> <IN>for</IN> <PRP>our</PRP> <NN>school</NN><.>.</.>

Sentence: Who will be the first to leave?
Output: <WRB>Who</WRB> <VBP>will</VBP> <VB>be</VB>"
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","['cc', 'prp', 'vbp', 'prp', 'to', 'dt', 'jj', 'in', 'dt', 'cd', 'jj', 'nns', 'in', 'nnp', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', ',', 'cc', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', '.']"," <CC>And</CC> <PRP>I</PRP> <VBP>welcome</VBP> <PRP>you</PRP> <TO>to</TO> <DT>the</DT> <JJ>first</JJ> <NNS>of</NNS> <CD>the</CD> <NN>2004</NN> <NN>presidential</NN> <NNS>debates</NNS> <IN>between</IN> <NNP>President</NNP> <NN>George</NN> <NN>W.</NNP> <NN>Bush</NNP> <,>,</,> <NN>the</NN> <NNP>Republican</NNP> <NN>nominee</NNP> <,>,</,> <NNP>and</NNP> <,>,</,> <NNP>Senator</NNP> <NN>John</NNP> <NN>Kerry</NNP> <,>,</,> <NNP>the</NNP> <NN>Democratic</NNP> <NN>nominee</NNP><.>.</.>"
These debates are sponsored by the Commission on Presidential Debates .,"['dt', 'nns', 'vbp', 'vbn', 'in', 'dt', 'nnp', 'in', 'nnp', 'nns', '.']"," <DT>These</DT> <JJ>debates</JJ> <NN>are</NN> <VBP>sponsored</VBP> <BY>by</BY> <NNP>the</NNP> <NNP>Commission</NNP> <NN>on</NN> <NNP>Presidential</NNP> <NN>Debates</NNP><.>.</.>

Sentence: The candidates will be chosen by the voters.
Output: <DT>The</DT> <NN>candidates</NN> <VBZ>will</VBZ> <VB>be</VB> <RP>chosen</RP> <BY>by</BY> <PRP>the</PRP> <NNP>voters</NNP><.>.</.>

Sentence: The candidates will be chosen by the voters, and the moderator will ask questions.
Output: <DT>The</DT> <NN>candidates</NN> <VBZ>will</VBZ> <VB>be</VB> <RP>chosen</RP> <BY>by</BY> <PRP>the</PRP> <NNP>voters</NNP><,><.><PRP>The</PRP> <NN>moderator</NN> <VBZ>will</VBZ> <VB>ask</VB> <JJ>questions</JJ><.>.</.>"
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","['nnp', 'pos', 'md', 'vb', 'cd', 'nns', ',', 'vbg', 'jj', 'nns', 'in', 'nn', 'vbn', 'rp', 'in', 'nns', 'in', 'dt', 'nns', '.']"," <DT>Tonight</DT>'s<TO>will</TO><VB>last</VB><CD>90</CD><NNS>minutes</NNS><,></,> <PRP>following</PRP><VBD>detailed</VBD><JJ>rules</JJ><OF>of</OF><NNS>engagement</NNS><worked</VBN> <PRP>out</PRP><BY>by</BY><NNS>representatives</NNS> <DT>of</DT><NNP>the</NNP><NNPS>candidates</NNPS><.>.</.>"
I have agreed to enforce rules on them .,"['prp', 'vbp', 'vbn', 'to', 'vb', 'nns', 'in', 'prp', '.']"," <PRP>I</PRP> <VBD>have</VBD> <AUX>agreed</AUX> <TO>to</TO> <VB>enforce</VB> <IN>rules</IN> <ON>on</ON> <PRP>them</PRP><.>.</.>

Sentence: The man who is standing next to me is my brother.
Output: <DT>The</DT> <NN>man</NN> <WRB>who</WRB> <WDT>is</WDT> <VBP>standing</VBP> <IN>next</IN> <TO>to</TO> <PRP>me</PRP> <COMMA>,</COMMA> <PRP>is</PRP> <VP>my</VP> <NN>brother</NN><.>.</.>

Sentence: They were arguing about the best way to solve the problem.
Output: <PRP>They</PRP> <VBD>were</VBD> <VBG>arguing</VBG> <ABOUT>about</ABOUT> <DT>the</DT> <JJ>best</JJ> <NN>way</NN> <TO>to</TO> <IN>solve</IN> <DT>the</DT> <NN>problem</NN><.>.</.>

Sentence: She has been working hard all day long.
Output: <PRP>She</PRP> <VBD>has</VBD> <VBN>been</VBN> <VBG>working</VBG> <DT>hard</DT> <IN>all</IN> <DT>day</DT> <IN>long</IN><.>.</.>

Sentence: We will be discussing the issue at length tomorrow.
Output: <PRP>We</PRP> <MD>will</MD> <VBZ>be</VBZ> <VBG>discussing</VBG> <DT>the</DT> <NN>issue</NN> <AT>at</AT> <IN>length</IN> <DT>tomorrow</DT><.>.</.>

Sentence: There are many people here today.
Output: <EX>There</EX>"
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","['dt', 'nn', 'nn', 'vbz', 'jj', 'nn', 'cc', 'nn', 'nn', ',', 'cc', 'dt', 'jj', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbp', 'rb', 'vbn', 'vbn', 'wp', 'prp', 'vbp', ',', 'cc', 'vbz', 'nn', 'rb', '.']"," <DT>The</DT> <NN>umbrella</NN> <NN>topic</NN> <IN>is</IN> <NN>foreign</NN> <JJ>policy</JJ> <IN>and</IN> <NN>homeland</NN> <NN>security</NN> <,><.><,><BUT><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><,><.><"
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","['in', 'dt', 'nn', 'ex', 'md', 'rb', 'vb', 'dt', 'jj', 'nn', ',', 'dt', 'cd', ':', 'jj', 'nn', 'cc', ',', 'in', 'nn', ',', 'dt', 'nn', 'nn', 'in', 'cd', 'nn', '.']"," <IN>For</IN> <DT>each</DT> <WRB>question</WRB> <IN>there</IN> <CAN>can</CAN> <VBZ>only</VBZ> <VBP>be</VBP> <NNS>a</NNS> <CD>two</CD> <NNS>minute</NNS> <TO>response</TO><,></,> <IN>a</IN> <CD>90</CD> <EN-dash></EN-dash> <NNS>second</NNS> <RB>rebuttal</RB> <COMMA></COMMA> <AT></AT> <DT>discretion</DT><,></,> <VP>a</VP> <JJ>discussion</JJ> <VBZ>extension</VBZ> <NN>of</NN> <CD>one</CD> <NNS>minute</NNS><.>.</.>"
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","['dt', 'jj', 'nn', 'md', 'vb', 'in', 'wrb', 'cd', 'nns', 'vbp', 'in', 'dt', 'vbn', 'nn', ',', 'jj', 'in', 'cd', ',', 'jj', 'in', 'cd', 'nns', ',', 'cc', 'rb', 'vbg', 'jj', 'nns', 'nn', 'vbz', 'rb', '.']"," <DT>A</DT> <JJ>green</JJ> <VWP>light</VWP> <VBZ>will</VBZ> <VBP>come</VBP> <IN>on</IN> <WHNP>when</WHNP> <CD>30</CD> <NNS>seconds</NNS> <IN>remain</IN> <DT>in</DT> <NN>any</NN> <DT>given</DT> <NN>answer</NN><,> <.> <DT>yellow</DT> <AT>at</AT> <CD>15</CD><,> <.> <DT>red</DT> <AT>at</AT> <CD>five</CD><seconds> <.> <AND> <.> <DT>then</DT> <JJ>flashing</JJ> <JJ>red</JJ> <NN>means</NN> <VP>time</VP><apos></apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos><apos> </apos"
There is also a backup buzzer system if needed .,"['ex', 'vbz', 'rb', 'dt', 'jj', 'nn', 'nn', 'in', 'vbd', '.']"," <EX>There</EX> <IS>is</IS> <also> <DT>a</DT> <NN>backup</NN> <NN>buzzer</NN> <NNS>system</NNS> <IN>if</IN> <DT>needed</DT><.>.</.>

Sentence: The new tax plan will be implemented next year.
Output: <DT>The</DT> <JJ>new</JJ> <NN>tax</NN> <NN>plan</NN> <VFP>will</VFP> <VBZ>be</VBZ> <IN>implemented</IN> <DT>next</DT> <NN>year</NN><.>.</.>

Sentence: I don't think that's a good idea.
Output: <PRP>I</PRP> <VBP>don't</VBP> <VBZ>think</VBZ> <WDT>that</WDT><'s><NN>a</NN> <JJ>good</JJ> <JJR>idea</JJR><.>.</.>

Sentence: They were arguing about who should pay for dinner.
Output: <NNS>They</NNS> <VBD>were</VBD> <VBG>arguing</VBG> <about> <WP>who</WP> <IN>should</IN> <VBP>pay</VBP> <FOR>for</FOR> <NN>dinner</NN><.>.</.>

Sentence: She has been working on her thesis for three years now.
Output: <PRP>She</PRP> <VBP>has</VBP> <VBN>been</VBN> <VBG>working</VBG> <ON>on</ON> <NN>her</NN> <POS>thesis</POS><'s><NN>for</NN> <CD>three</CD> <NNS>years</NNS> <IN>now</IN><.>.</.>

Sentence: We need more people to help us out.
Output: <PRP>We</PRP> <VBP>need</VBP> <DT>more</DT> <NNS>people</N"
