text,label,label_value,prediction
That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support
it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support
we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support
I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support
It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support
I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support
I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support
I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support
it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war,1,support,support
we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy,1,support,support
We got rid of that [SEP] We had a war when we came into power in 1953,1,support,support
We got rid of that [SEP] that doesn't indicate that we're trigger-happy,1,support,support
the rights of people there to be free [SEP] there isn't any question about the necessity of defending Berlin,1,support,support
There were three Democratic presidents who led us into war. [SEP] I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record,1,support,support
would lead this nation into war [SEP] I resent it,1,support,support
"I resent that comment [SEP] the statement that Senator Kennedy made was that - to the effect that there were trigger-happy Republicans, that my stand on Quemoy and Matsu was an indication of trigger-happy Republicans",0,attack,support
I do not mean by that that one party is a war party and the other party is a peace party [SEP] I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record,0,attack,support
I would ask him to name one Republican president who led this nation into war [SEP] I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record,1,support,support
I would remind Senator Kennedy of the past fifty years [SEP] I would ask him to name one Republican president who led this nation into war,1,support,support
We've been strong [SEP] that doesn't indicate that we're trigger-happy,1,support,support
there isn't any question about the necessity of defending Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support
"when we're in the kind of a race we're in, we have got to see that America grows just as fast as we can, provided we grow soundly [SEP] I am never satisfied with the economic growth of this country",1,support,support
"I'm not satisfied with it even if there were no Communism in the world [SEP] when we're in the kind of a race we're in, we have got to see that America grows just as fast as we can, provided we grow soundly",1,support,support
even though the growth in this Administration has been twice as much as it was in the Truman Administration [SEP] that isn't good enough,0,attack,support
that isn't good enough [SEP] I am never satisfied with the economic growth of this country,1,support,support
"I believe basically that what we have to do is to stimulate that sector of America, the private enterprise sector of the economy, in which there is the greatest possibility for expansion [SEP] I advocate a program of tax reform which will stimulate more investment in our economy",1,support,support
"I refer, for example, to distressed areas [SEP] we have to move on other areas that are holding back growth",1,support,support
we have to move on other areas that are holding back growth [SEP] We have to move into those areas with programs so that we make adequate use of the resources of those areas,1,support,support
the equality of opportunity for employment and education is not just for the benefit of the minority groups [SEP] it's for the benefit of the nation so that we can get the scientists and the engineers and all the rest that we need,1,support,support
"we need programs, particularly in higher education, which will stimulate scientific breakthroughs which will bring more growth [SEP] it's for the benefit of the nation so that we can get the scientists and the engineers and all the rest that we need",1,support,support
He's been traveling in some other country [SEP] Anybody who says America's been standing still for the last seven and a half years hasn't been traveling around America,1,support,support
We have been moving [SEP] America has not been standing still,1,support,support
We have been moving much faster than we did in the Truman years [SEP] America has not been standing still,1,support,support
we can and must move faster [SEP] that's why I stand so strongly for programs that will move America forward in the sixties,1,support,support
"Even if you put his income up ten percent, that would be two and three-quarters percent three pers- or three cents out of that twenty-five cents [SEP] the farmer who grows wheat gets about two and a half cents out of a twenty-five-cent loaf of bread",1,support,support
"The t- man who grows tomatoes - it costs less for those tomatoes than it does for the label on the can [SEP] Even if you put his income up ten percent, that would be two and three-quarters percent three pers- or three cents out of that twenty-five cents",1,support,support
the farmer who grows wheat gets about two and a half cents out of a twenty-five-cent loaf of bread [SEP] that under my agricultural program food prices would go up twenty-five percent. That's untrue,1,support,support
that under my agricultural program food prices would go up twenty-five percent. That's untrue [SEP] anybody who suggests that that program would c- come to any figure indicated by the Vice President is in error,1,support,support
The Vice President suggested a number of things [SEP] anybody who suggests that that program would c- come to any figure indicated by the Vice President is in error,1,support,support
He suggested we pass an aid to education bill [SEP] The Vice President suggested a number of things,1,support,support
The Administration has vetoed that bill passed by the Congress twice [SEP] He suggested that we aid distressed areas,0,attack,support
the Administration and the Republican majority in the Congress has opposed any realistic aid to education [SEP] He suggested we pass an aid to education bill,0,attack,support
This Administration and this country last year had the lowest rate of economic growth - which means jobs - of any major industrialized society in the world in 1959 [SEP] even though the growth in this Administration has been twice as much as it was in the Truman Administration,0,attack,support
"This Administration and this country last year had the lowest rate of economic growth - which means jobs - of any major industrialized society in the world in 1959 [SEP] when we have to find twenty-five thousand new jobs a week for the next ten years, we're going to have to grow more",1,support,support
The last eight years the average growth has been about two and a half per cent [SEP] That's why we don't have full employment today,1,support,support
"when we have to find twenty-five thousand new jobs a week for the next ten years, we're going to have to grow more [SEP] That's why we don't have full employment today",1,support,support
