label,text
1,TOPIC: We should ban full-body scanners [SEP] The US Government has also hinted at the possibility of deploying the full body scanners at train stations and subways. [SEP] Opponents in the US argue that full body scanners and the new TSA patdowns are unconstitutional.
0,"TOPIC: We should prohibit corporal punishment [SEP] McKay also stresses the fact that corporal punishment continued to be inflicted for numerous offences and often proved fatal. [SEP] Dobson first became well-known with the publication of Dare to Discipline (1970), which encouraged parents to use corporal punishment in disciplining their children."
0,"TOPIC: We should ban breast implants [SEP] The long-term study of 25,000 women, Mortality among Canadian Women with Cosmetic Breast Implants (2006), reported that the findings suggest that breast implants do not directly increase mortality in women. . [SEP] Investigators interviewed Mas on 18 and 19 November 2010 after the French health authority AFSSAPS discovered the PIP breast implants did not conform to regulations."
1,"TOPIC: We should legalize cannabis [SEP] In 1997, the Connecticut Law Revision Commission examined states that had decriminalized cannabis and found decriminalizing small amounts of cannabis has no effect on subsequent use of alcohol or harder illicit drugs. [SEP] According to a 2006 United Kingdom government report, using cannabis is much less dangerous than tobacco, prescription drugs, and alcohol in social harms, physical harm, and addiction."
0,"TOPIC: We should increase gun control [SEP] Following the Columbine school shootings on the morning of April 20, 1999, demand for more gun control measures increased, including calls for restrictions on gun shows, child access prevention laws mandating the locking up of guns, and bans on assault weapons. [SEP] The NRA opposes most new gun-control legislation, calling instead for stricter enforcement of existing laws such as prohibiting convicted felons and violent criminals from possessing firearms and increased sentencing for gun-related crimes."
0,"TOPIC: We should end international aid [SEP] Barr asserts that foreign aid has proved to be a drain on the U.S. economy while doing little good for the recipients, and that aid is routinely used by corrupt foreign governments to oppress their people and enrich powerful elites. [SEP] ACIAR forms part of the Australian Government's overseas aid program and works toward the aid program's objective of assisting developing countries to reduce poverty and achieve sustainable development in line with the national interest."
0,"TOPIC: We should ban male infant circumcision [SEP] Randomized controlled trials have shown that male circumcision lowers the risk of HIV infection among heterosexual men by up to 60%. [SEP] In September 2010, the Royal Australasian College of Physicians stated that Circumcision has not been demonstrated to decrease the risks of prostate cancer. ."
0,"TOPIC: We should introduce universal health care [SEP] Olver is one of the co-sponsors of , the US National Health Care Act, or Expanded & Improved Medicare for All, which introduces a universal health insurance program with single-payer financing. [SEP] Through his organization and its predecessors Jackson has advocated universal health care, a war on drugs, direct peace negotiations between Palestinians and Israelis, ending apartheid in South Africa and advancing democracy in Haiti."
1,"TOPIC: We should increase government regulation [SEP] And like most industries with pollution problems, chemical manufacturers oppose meddlesome government regulations that make it more difficult and expensive for them to do business. [SEP] Berg has voted to curtail EPA regulations, stating: In North Dakota, we know the damaging effects that overreaching government regulations can have on our small businesses and their ability to create jobs."
0,"TOPIC: We should ban male infant circumcision [SEP] Weiss, Quigley and Hayes carried a meta-analysis on circumcision and HIV in 2000 and found as follows: Male circumcision is associated with a significantly reduced risk of HIV infection among men in sub-Saharan Africa, particularly those at high risk of HIV. [SEP] According to the Historia Augusta, the Roman emperor Hadrian issued a decree banning circumcision in the empire, and some modern scholars argue that this was a main cause of the Jewish Bar Kokhba revolt of 132 CE."
1,"TOPIC: We should prohibit corporal punishment [SEP] On social issues, Harper argued for parental rights to use corporal punishment against their children and supported raising the age of sexual consent. [SEP] McKay also stresses the fact that corporal punishment continued to be inflicted for numerous offences and often proved fatal."
