text,label_value,label,prediction,predictions_text
"That this House extends its sympathy to all those affected by recent floods and its gratitude to the emergency services, armed forces and volunteers who rallied round to help afflicted communities over the holiday period",Civic Mindedness: Positive,37,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence: That this House extends its sympathy to all those affected by recent floods and its gratitude to the emergency services, armed forces and volunteers who rallied round to help afflicted communities over the holiday period
Output: Humanitarian Aid, Civic Mindedness: Positive, Welfare State Expansion
```
Humanitarian Aid, Civic Mindedness: Positive, Welfare State Expansion
```
"
"That this House calls on the Government to take all necessary steps to reduce immigration to a level that will stabilise the UK’s population as close as possible to its present level and, certainly, significantly below 70 million.",Multiculturalism: Negative,39,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence: That this House calls on the Government to take all necessary steps to reduce immigration to a level that will stabilise the UK’s population as close as possible to its present level and, certainly, significantly below 70 million.
Output: Protectionism: Negative, National Way of Life: Positive, Labour Groups: Positive
```tool_text
Here's the breakdown of the sentence and the classification rationale:

*   **Protectionism: Negative** - The call to ""reduce"
" regrets that the average cost of a home in London is now over £500,000",Equality: Positive,30,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence:  regrets that the average cost of a home in London is now over £500,000
Output: Economic Goals
```python
Economic Goals
```
"
also notes the publication of reports by the National Autistic Society which shows that two-thirds of teachers in England and Wales believe that there are more children with autism disorders now than five years ago and that one in three children in special schools has some form of autism,Equality: Positive,30,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence: also notes the publication of reports by the National Autistic Society which shows that two-thirds of teachers in England and Wales believe that there are more children with autism disorders now than five years ago and that one in three children in special schools has some form of autism
Output: Education Expansion, Human Rights
"
notes the Government’s real-terms reduction of the Welsh budget by £1.5 billion,Keynesian Demand Management,22,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence: notes the Government’s real-terms reduction of the Welsh budget by £1.5 billion
Output:
Governmentative and Administrative Efficiency, Political Corruption
"
" notes that the city of Famagusta in the Republic of Cyprus was captured by the invading Turkish forces in August 1974, that a section of Famagusta was then sealed off and remains uninhabited, under the direct control of the Turkish military, and that the return of Famagusta to its lawful inhabitants would facilitate efforts toward a comprehensive settlement of the Cyprus problem",Peace,2,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence:  notes that the city of Famagusta in the Republic of Cyprus was captured by the invading Turkish forces in August 1974, that a section of Famagusta was then sealed off and remains uninhabited, under the direct control of the Turkish military, and that the return of Famagusta to its lawful inhabitants would facilitate efforts toward a comprehensive settlement of the Cyprus problem
Output: Military: Negative, Peace, Internationalism: Positive, European Union: Negative, Human Rights, Governative and Administrative Efficiency, Political Authority: Party, National Way of Life: Negative, Law and Order: Positive
"
" recognises however that all of those policies and aspirations can be achieved without adopting the damaging and unjustified market-based reorganisation that is proposed, and already being implemented, by the Government",Welfare State Expansion,31,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence:  recognises however that all of those policies and aspirations can be achieved without adopting the damaging and unjustified market-based reorganisation that is proposed, and already being implemented, by the Government
Output: Free Market Economy, Governative and Administrative Efficiency, Political Corruption
"
" is concerned that Government policy is removing crucial tools for the police to catch offenders and tackle crime in the future, such as restricting the use of CCTV and DNA evidence and the abolition of ASBOs",Law and Order: Positive,36,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence:  is concerned that Government policy is removing crucial tools for the police to catch offenders and tackle crime in the future, such as restricting the use of CCTV and DNA evidence and the abolition of ASBOs
Output: Law and Order: Positive
```python
Law and Order: Positive
```
"
"That this House notes the House of Lords Select Committee Report on Chinook ZD 576, which concludes that 'the Air Marshals were not justified in finding that negligence on the part of the pilots of ZD 576 caused the crash' in the Mull of Kintyre on 2nd June 1994",Military: Positive,0,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence: That this House notes the House of Lords Select Committee Report on Chinook ZD 576, which concludes that 'the Air Marshals were not justified in finding that negligence on the part of the pilots of ZD 576 caused the crash' in the Mull of Kintyre on 2nd June 1994
Output: Political Authority: Party
```text
Political Authority: Party
```
"
" and further urges the Government to contribute to the development of a European Union which is open, accountable, democratic and decentralised, and in which the powers of European institutions, the constitutional relationship between the EU and member states and the rights of the citizens of EU member states are more clearly defined through the establishment of a constitution for Europe.",European Union: Positive,4,none,"You are a motion policy preference classification assistant. Classify the motions using the following labels:Military: Positive, Military: Negative, Peace, Internationalism: Positive, European Union: Positive, European Union: Negative, Human Rights, Direct Democracy: Positive, Constitutionalism: Positive, Constitutionalism: Negative, Decentralisation: Positive, Centralisation: Positive, Governative and Administrative Efficiency, Political Corruption, Political Authority: Party, Free Market Economy, Incentives: Positive, Market Regulation, Economic Planning, Corporatism/Mixed Economy, Protectionism: Negative, Economic Goals, Keynesian Demand Management, Economic Growth: Positive, Technology and Infrastructure: Positive, Controlled Economy, Nationalisation, Economic Orthodoxy, Environmental Protection, Culture: Positive, Equality: Positive, Welfare State Expansion, Welfare State Limitation, Education Expansion, National Way of Life: Positive, National Way of Life: Negative, Law and Order: Positive, Civic Mindedness: Positive, Multiculturalism: Positive, Multiculturalism: Negative, Labour Groups: Positive, Agriculture and Farmers: Positive, Middle Class and Professional Groups, Underprivileged Minority Groups, Non-economic Demographic Groups

Sentence:  and further urges the Government to contribute to the development of a European Union which is open, accountable, democratic and decentralised, and in which the powers of European institutions, the constitutional relationship between the EU and member states and the rights of the citizens of EU member states are more clearly defined through the establishment of a constitution for Europe.
Output: European Union: Positive, Constitutionalism: Positive, Decentralisation: Positive, Direct Democracy: Positive
"
