text,label,label_value,prediction,predictions_text
That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support
Sentence: The United States has been the only country to reject an attempt by one of its nations to join the World Court [SEP] this rejection suggests deep distrust of international law
Output: attack
Sentence: The"
it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support
Sentence: I think it's a very dangerous situation, and I think everybody in the world is concerned about it [SEP] the United States must be concerned first and foremost
Output: attack
Sentence: I think"
we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President has been very clear that he will not negotiate with terrorists [SEP] But the terrorists are not listening to him
Output: attack
Sentence: I think the President is right in what he"
I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I think it's a very important point [SEP] I think it's a very important point that the United States has not been defeated in a war since 1941
Output: no_relation"
It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President's budget, as I understand it, is a budget that is going to increase the deficit [SEP] It is a budget that is going to increase the deficit
Output: no_relation
"
I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I think it's a very important point [SEP] I think it's a very important point that the President has made
Output: no_relation
Sentence: I think it's a very important"
I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President's action is a deliberate attempt to deceive the American people [SEP] The President's action is a deliberate attempt to deceive the American people
Output: no_relation
Sentence"
I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: The President's action is a direct threat to the peace and stability of the world [SEP] The President's action is a direct threat to the peace and stability of the world
Output: no_relation
"
it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war
Output: attack
Sentence: I think the President's been very clear that he's not going to war [SEP] he's going to use diplomacy
Output: no_relation
Sentence: I think the President's"
we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy
Output: no_relation
Sentence: I think it's a great mistake to make the United States the world's policeman [SEP] I think it's a great mistake to make the United States the world's policeman
"
