text,label,prediction
That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,support,support
it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,support,support
we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,support,support
I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,support,support
It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,support,support
I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,support,no_relation
I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,support,support
I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,support,support
it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war,support,support
we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy,support,support
We got rid of that [SEP] We had a war when we came into power in 1953,support,support
We got rid of that [SEP] that doesn't indicate that we're trigger-happy,support,no_relation
the rights of people there to be free [SEP] there isn't any question about the necessity of defending Berlin,support,support
There were three Democratic presidents who led us into war. [SEP] I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record,support,no_relation
would lead this nation into war [SEP] I resent it,support,no_relation
"I resent that comment [SEP] the statement that Senator Kennedy made was that - to the effect that there were trigger-happy Republicans, that my stand on Quemoy and Matsu was an indication of trigger-happy Republicans",attack,attack
I do not mean by that that one party is a war party and the other party is a peace party [SEP] I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record,attack,support
I would ask him to name one Republican president who led this nation into war [SEP] I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record,support,support
I would remind Senator Kennedy of the past fifty years [SEP] I would ask him to name one Republican president who led this nation into war,support,attack
We've been strong [SEP] that doesn't indicate that we're trigger-happy,support,no_relation
there isn't any question about the necessity of defending Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,support,support
"when we're in the kind of a race we're in, we have got to see that America grows just as fast as we can, provided we grow soundly [SEP] I am never satisfied with the economic growth of this country",support,support
"I'm not satisfied with it even if there were no Communism in the world [SEP] when we're in the kind of a race we're in, we have got to see that America grows just as fast as we can, provided we grow soundly",support,no_relation
even though the growth in this Administration has been twice as much as it was in the Truman Administration [SEP] that isn't good enough,attack,support
that isn't good enough [SEP] I am never satisfied with the economic growth of this country,support,support
"I believe basically that what we have to do is to stimulate that sector of America, the private enterprise sector of the economy, in which there is the greatest possibility for expansion [SEP] I advocate a program of tax reform which will stimulate more investment in our economy",support,support
