text,ner_tags,response
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","['vbg', 'in', 'dt', 'nnp', 'in', 'nnp', 'nnp', 'nnp', 'in', 'nnp', 'nnp', ',', 'nnp', '.']"," Good_<JJ> evening <FW> from <NNP> the <NNP> University <NNP> of <NNP> Miami <NNP> Convocation <NNP> Center <NNP> in <IN> Coral <NNP> Gables <NNP>, <HYPH> Florida <NNP>.
"
I 'm Jim Lehrer of The NewsHour on PBS .,"['prp', 'vbp', 'nnp', 'nnp', 'in', 'dt', 'nn', 'in', 'nnp', '.']"," I <PRP> ‘m <NNP> Jim <NNP> Lehrer <IN> of <NNP> The <NNP> NewsHour <IN> on <NNP> PBS <PERIOD>.
"
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","['cc', 'prp', 'vbp', 'prp', 'to', 'dt', 'jj', 'in', 'dt', 'cd', 'jj', 'nns', 'in', 'nnp', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', ',', 'cc', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', '.']"," <CC>And</CC> <PRP>I</PRP> <FW>welcome</FW> <FW>you</FW> <FW>to</FW> <DT>the</DT> <LS>first</LS> <IN>of</IN> <DT>the</DT> <CD>2004</CD> <FW>presidential</FW> <FW>debates</FW> <IN>between</IN> <NNP>President</NNP> <NNP>George</NNP> <FW>W.</FW> <NNP>Bush</NNP> <FW>,</FW> <NNP>the</NNP> <NNS>Republican</NNS> <FW>nominee</FW> <FW>,</FW> <FW>and</FW> <NNP>Senator</NNP> <NNP>John</NNP> <NNP>Kerry</NNP> <FW>,</FW> <FW>the</FW> <NNS>Democratic</NNS> <FW>nominee</FW> <FW>.</FW>
"
These debates are sponsored by the Commission on Presidential Debates .,"['dt', 'nns', 'vbp', 'vbn', 'in', 'dt', 'nnp', 'in', 'nnp', 'nns', '.']"," <JJ>These</JJ> <DT>debates</DT> <RB>are</RB> <IN>sponsored</IN> <PRP>by</PRP> <NNP>the</NNP> <NNP>Commission</NNP> <PP>on</PP> <NNP>Presidential</NNP> <CC>Debates</CC> <DOT>.
"
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","['nnp', 'pos', 'md', 'vb', 'cd', 'nns', ',', 'vbg', 'jj', 'nns', 'in', 'nn', 'vbn', 'rp', 'in', 'nns', 'in', 'dt', 'nns', '.']"," Tonight <POS>'s <POS> will <VBP> last <CD> 90 <CD> minutes <,>, following <IN> detailed <JJ> rules <NN> of <IN> engagement <NNS> worked <VBD> out <IN> by <PRP> representatives <NNS> of <NNP> the <NNP> candidates <,>.
"
I have agreed to enforce rules on them .,"['prp', 'vbp', 'vbn', 'to', 'vb', 'nns', 'in', 'prp', '.']"," I <PRP> have <VBP> agreed <VBZ> to <TO> enforce <VB> rules <NNS> on <IN> them <PRP>.
"
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","['dt', 'nn', 'nn', 'vbz', 'jj', 'nn', 'cc', 'nn', 'nn', ',', 'cc', 'dt', 'jj', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbp', 'rb', 'vbn', 'vbn', 'wp', 'prp', 'vbp', ',', 'cc', 'vbz', 'nn', 'rb', '.']"," <DT>The</DT> <NNP>umbrella</NNP> <NN>topic</NN> <IN>is</IN> <FW>foreign</FW> <NN>policy</NN> <CC>and</CC> <FW>homeland</FW> <NN>security</NN>, <CC>but</CC> <PRP>the</PRP> <DT>specific</DT> <NNS>subjects</NNS> <EX>were</EX> <VBD>chosen</VBD> <PP>by</PP> <PRP>me</PRP>, <DT>the</DT> <NNS>questions</NNS> <EX>were</EX> <VBD>composed</VBD> <PP>by</PP> <PRP>me</PRP>, <DT>the</DT> <NNS>candidates</NNS> <VBP>have</VBP> <HTX>not</HTX> <VBN>been</VBN> <VBN>told</VBN> <PP>what</PP> <DT>they</DT> <EX>are</EX>, <CC>nor</CC> <PRP>has</PRP> <VBP>anyone</VBP> <EX>else</EX>.
"
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","['in', 'dt', 'nn', 'ex', 'md', 'rb', 'vb', 'dt', 'jj', 'nn', ',', 'dt', 'cd', ':', 'jj', 'nn', 'cc', ',', 'in', 'nn', ',', 'dt', 'nn', 'nn', 'in', 'cd', 'nn', '.']"," <FW>For</FW> <IN>each</IN> <DW>question</DW> <IN>there</IN> <EX>can</EX> <IN>only</IN> <BB>a</BB> <CD>two</CD> <NN>-minute</NN> <IN>response</IN>, <COMMA>,</COMMA> <CD>90</CD>  <IN>-second</IN> <NN>rebuttal</NN> <IN>,</IN> <IN>at</IN> <FW>discretion</FW> <IN>,</IN> <IN>a</IN> <NN>discussion</NN> <IN>extension</IN> <IN>of</IN> <CD>one</CD> <NN>minute</NN>.
"
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","['dt', 'jj', 'nn', 'md', 'vb', 'in', 'wrb', 'cd', 'nns', 'vbp', 'in', 'dt', 'vbn', 'nn', ',', 'jj', 'in', 'cd', ',', 'jj', 'in', 'cd', 'nns', ',', 'cc', 'rb', 'vbg', 'jj', 'nns', 'nn', 'vbz', 'rb', '.']"," <DT><JJ>green</JJ> <NN>light</NN> <MD>will</MD> <VBP>come</VBP> <NN>on</NN> <WDT>when</WDT> <CD>30</CD> <NN>seconds</NN> <RB>remain</RB> <IN>in</IN> <PRP>any</PRP> <NN>given</NN> <NN>answer</NN>, <JJ>yellow</JJ> <AT>at</AT> <CD>15</CD>, <JJ>red</JJ> <AT>at</AT> <CD>five</CD> <NN>seconds</NN>, <CC>and</CC> <TT>then</TT> <NN>flashing</NN> <NN>red</NN> <POS>means</POS> <NN>time’s</NN> <RP>up</RP>.
"
There is also a backup buzzer system if needed .,"['ex', 'vbz', 'rb', 'dt', 'jj', 'nn', 'nn', 'in', 'vbd', '.']"," <EX>There</EX> <DT>is</DT> <RB>also</RB> <DT>a</DT> <NN>backup</NN> <NN>buzzer</NN> <IN>if</IN> <RB>needed</RB> <PERIOD>.</PERIOD>
"
