text,label,label_value,prediction,predictions_text
"There is no doubt that the flow of heavy weapons across those borders, in violation of the territorial integrity and sovereignty of Ukraine, has given the separatists the fire power and the confidence to escalate the conflict. [SEP] with the ongoing fighting, the fast-approaching winter season and the current gas shortage in Ukraine,",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: There is no doubt that the flow of heavy weapons across those borders, in violation of the territorial integrity and sovereignty of Ukraine, has given the separatists the fire power and the confidence to escalate the conflict. [SEP] with the ongoing fighting, the fast-approaching winter season and the current gas shortage in Ukraine,
Output: support, attack
Explanation: The first sentence is classified as ""support"" because it provides evidence and context that supports the claim of the conflict. The second sentence is classified as ""attack"" because it presents a negative aspect of the situation, mentioning the"
"We appeal to all those in a position to influence those responsible for their horrendous acts, in particular to Russia, to, in accordance with its status as a signatory to the Minsk accords and to the joint Berlin declaration of 21 January, as well as a member of the OSCE trilateral contact group, and in exercise of its responsibility of the Security Council, contribute to de-escalate the tensions and compel the rebel groups to renounce violence and accept the peaceful and lawful path to pursue their claims. [SEP] That is what happens when the rule-based system is attacked.",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: We appeal to all those in a position to influence those responsible for their horrendous acts, in particular to Russia, to, in accordance with its status as a signatory to the Minsk accords and to the joint Berlin declaration of 21 January, as well as a member of the OSCE trilateral contact group, and in exercise of its responsibility of the Security Council, contribute to de-escalate the tensions and compel the rebel groups to renounce violence and accept the peaceful and lawful path to pursue their claims. [SEP] That is what happens when the rule-based system is attacked.
Output: support, attack

Explanation: The first sentence is classified as support because it appeals to Russia to de-escalate tensions and compel rebel groups to renounce violence. The second sentence is classified as attack because it implies that the rule-based system is being"
We have reached such moment. [SEP] Let this tragedy at least serve as a warning to all the parties.,2,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: We have reached such moment. [SEP] Let this tragedy at least serve as a warning to all the parties.
Output: no_relation [SEP] attack

Explanation: The first sentence is a statement about reaching a moment, which is a neutral statement. The second sentence is an attack on the parties involved in the tragedy, as it implies that they should have learned from the"
"Among this, we have heard the usual pattern of Russian denials and misinformation. [SEP] We reiterate our call for the de-escalation of tensions and for restraint on all sides, fully in keeping with the joint statement adopted on 17 April in Geneva by the chief diplomats of Ukraine, Russia, the United States and the European Union.",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Among this, we have heard the usual pattern of Russian denials and misinformation. [SEP] We reiterate our call for the de-escalation of tensions and for restraint on all sides, fully in keeping with the joint statement adopted on 17 April in Geneva by the chief diplomats of Ukraine, Russia, the United States and the European Union.
Output: attack, support
Explanation: The first sentence is classified as attack because it mentions ""Russian denials and misinformation"", which implies a negative tone towards Russia. The second sentence is classified as support because it calls for ""de-escalation of tensions"""
"""The bloody murder of dozens of civilians and injuries to almost 100 people by pro-Russian terrorists in Mariupol not only constitute a terrorist attack, they are a crime against humanity, and thus an issue to be considered by the tribunal in The Hague"". [SEP] Russia refuses to grant Ukrainian consular access",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: ""The bloody murder of dozens of civilians and injuries to almost 100 people by pro-Russian terrorists in Mariupol not only constitute a terrorist attack, they are a crime against humanity, and thus an issue to be considered by the tribunal in The Hague"". [SEP] Russia refuses to grant Ukrainian consular access
Output: {""label"": ""support"", ""sentence"": ""The bloody murder of dozens of civilians and injuries to almost 100 people by pro-Russian terrorists in Mariupol not only constitute a terrorist attack, they are a crime against humanity, and thus an issue"
"Russia must withdraw all its support to separatists, remove all its military forces and assets from Ukrainian territory, respect Ukraine's borders, observe its obligations under the Minsk agreements and engage in genuine dialogue with Ukraine. [SEP] there is a clear path towards an end to the violence in eastern Ukraine.",2,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Russia must withdraw all its support to separatists, remove all its military forces and assets from Ukrainian territory, respect Ukraine's borders, observe its obligations under the Minsk agreements and engage in genuine dialogue with Ukraine. [SEP] there is a clear path towards an end to the violence in eastern Ukraine.
Output: support, attack
Explanation: The first sentence is classified as ""support"" because it suggests that Russia should take certain actions to support Ukraine. The second sentence is classified as ""attack"" because it implies that Russia's actions are causing violence in eastern Ukraine"
"Immediately after the February uprising, Kyiv began to call dissenters ""bandits"" and ""terrorists"", and then ""subhumans"" and ""insects"". [SEP] but by sending its special agents to Ukraine to effect diversions and sabotage",1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Immediately after the February uprising, Kyiv began to call dissenters ""bandits"" and ""terrorists"", and then ""subhumans"" and ""insects"". [SEP] but by sending its special agents to Ukraine to effect diversions and sabotage
Output: attack, support

Explanation: The first sentence is classified as ""attack"" because it describes the government's negative actions towards the dissenters. The second sentence is classified as ""support"" because it implies that the government is taking actions to help itself,"
"From the very beginning, the Kyiv authorities have made no secret of the fact that the ceasefire would be used for a realignment of forces and the pursuit of military activities. [SEP] All four tank factories are working three shifts.",2,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: From the very beginning, the Kyiv authorities have made no secret of the fact that the ceasefire would be used for a realignment of forces and the pursuit of military activities. [SEP] All four tank factories are working three shifts.
Output: no_relation [SEP] no_relation

Explanation: The first sentence is about the ceasefire and military activities, which is a topic related to politics and war. The second sentence is about tank factories working three shifts, which is a topic related to industry and"
Their lives were cut off in the middle of a crisis on which this very Council has been unable to take action since it began in February. [SEP] We must halt this course of confrontation and work towards de-escalation.,1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Their lives were cut off in the middle of a crisis on which this very Council has been unable to take action since it began in February. [SEP] We must halt this course of confrontation and work towards de-escalation.
Output: no_relation [SEP] support

Explanation: The first sentence is a neutral statement about the situation, and the second sentence expresses a positive sentiment towards de-escalation, indicating support. 

Note: This is a simple example, and real-world relation"
Instability is frozen. [SEP] They are terrorists and they are called by that name,1,no_relation,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: Instability is frozen. [SEP] They are terrorists and they are called by that name
Output: no_relation [SEP] attack

Explanation: The first sentence is a statement about the state of something (instability) and does not contain any information about the relation between two entities. The second sentence contains a label (terrorists) which is a"
