text,ner_tags,response
"I will address the military aspect , if I may respond . The military aspect of the drug problem is being addressed . As a matter of fact , we are using the Department of Defense in a coordinated effort , in reconnaissance . But I do n't believe that we are going to turn the Department of Defense into a police organization . We are using our military assets in a prudent way to deal with interdiction , and we 've made some success in this area . Seventy tons of cocaine have been stopped . But , you know , when you look at the drug problem - and it is a tremendous problem , and there are no easy solutions to it - it 's a complicated problem , and it 's heading up the effort to try to create a drug - free America , which is a challenge and a goal of all of us . Not only will we utilize national defense and the Department of Defense , but we 've got to get on the demand side of the ledger ; we 've got to get to education . And education ought to begin at home , and it ought to be reinforced in our schools . And there 's another thing that will be more important than the premise of this question on a hypothetical of using troops . We will use the military assets , we will use military assets - but we need to focus on another part of this problem , and that problem is law enforcement . And here is where we have a major disagreement with the governor of Massachusetts . He is opposed to the death penalty for drug kingpins . We believe people convicted of that crime deserve the death penalty , as does the legislation that 's in the Congress that is supported by a bipartisan , including many Democrats of his party . He also was opposed to mandatory drug sentencing for drug dealers in the state of Massachusetts . You can not have a war on drugs , you can not be tough on drugs and weak on crime .","['b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim']","
I will address the military aspect, <claim>if I may respond </claim>. The military aspect of the drug problem is being addressed. As a matter of fact, <premise>we are using the Department of Defense in a coordinated effort, in reconnaissance </premise>, But I don't believe that we are going to turn the Department of Defense into a police organization. <premise>We are using our military assets in a prudent way to deal with interdiction, and we've made some success in this area </premise>. Seventy tons of cocaine have been stopped. But, <premise>you know, when you look at the drug problem - and it is a tremendous problem, and there are no easy solutions to it - it's a complicated problem, and it's heading up the effort to try to create a drug - free America, which is a challenge and a goal of all of us </premise>. Not only will we utilize national defense and the Department of Defense, <premise>but we've got to get on the demand side of the ledger ; we've got to get to education </premise> ; And education ought to begin at home, and it ought to be reinforced in our schools. <premise>And there's another thing that will be more important than the premise of this question on a hypothetical of using troops </premise>. We will use the military assets, <premise>we will use military assets - but we need to focus on another part of this problem, and that problem is law enforcement </premise>. And here is where we have a major disagreement with the governor of Massachusetts. <premise>He is opposed to the death penalty for drug kingpins </premise>. <premise>We believe people convicted of that crime deserve the death penalty, as does the legislation that's in the Congress that is supported by a bipartisan, including many Democrats of his party </premise>. <premise>He also was opposed to mandatory drug sentencing for drug dealers in the state of Massachusetts </premise>. <claim>You can not have a war on drugs, you can not be tough on drugs and weak on crime </claim>.
"
"Well , I do n't have any idea but I hope it will happen some time in my lifetime .","['o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o']"," Well <premise>I don't have any idea</premise> but <claim>I hope it will happen some time in my lifetime</claim>.
"
"Vice President Pence , I 'm sorry , your time is up - Thank you , Vice President Pence -","['o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o']"," <claim>your time is up</claim> - <premise>Thank you, Vice President Pence</premise> -
"
That 's right .,"['o', 'o', 'o', 'o']","  <claim>That’s right</claim> 
"
"Well , I have no idea . I mean , he can throw out all kinds -- I do n't know the particulars of this law . I will tell you I 'm the kind of person , I do n't hire or fire somebody based upon their sexual orientation . As a matter of fact , I would like to take the issue a little further . I do n't really think it 's any of my -- you know , any of my concerns what -- how you conduct your sex life . And I think that 's a private matter . And I think that 's the way it ought to be . But I 'm going to be respectful for people , I 'll tolerate people , and I support equal rights but not special rights for people .","['o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'o', 'o', 'o', 'o', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim']"," Well, <premise>I don't hire or fire somebody based upon their sexual orientation</premise>... I mean,... <premise>how you conduct your sex life</premise>... And I think that's the way it ought to be. But I'm going to be respectful for people, I 'll tolerate people, and I support equal rights but not special rights for people.
"
Is that right ?,"['o', 'o', 'o', 'o']"," <claim>Is that right?</claim>
"
AUDIENCE_QUESTION : Um --,"['o', 'o', 'o', 'o']"," <premise>...</premise>
"
"Well I do n't think that in the winter of sixty - one under present economic conditions , it uh - a - uh - tax uh - increase would be desirable . In fact , it would be deflationary ; it would cause great unemployment ; it would cause a real slowdown in our economy . If it ever becomes necessary , and is wise economically and essential to our security , I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States . I have talked in every speech about the fact that these are going to be very difficult times in the nineteen - sixties and that we 're going to have to meet our responsibilities as citizens . I 'm talking about a national mood . I 'm talking about our willingness to bear any burdens in order to maintain our own freedom and in order to meet our freedom around the globe . We do n't know what the future 's going to bring . But I would not want anyone to elect me uh - president of the United States - or vote for me - under the expectation that life would be easier if I were elected . Now , many of the programs that I 'm talking about - economic growth , care for the aged , development of our natural resources - build the strength of the United States . That 's how the United States began to prepare for its great actions in World War II and in the post - war period . If we 're moving ahead , if we 're providing a viable economy , if our people have sufficient resources so that they can consume what we produce ; then this country 's on the move , then we 're stronger , then we set a better example to the world . So we have the problem of not only building our own uh - military strength and extending uh - our policies abroad , we have to do a job here at home . So I believe that the policies that I recommend came under the general heading of strengthening the United States . We 're using our steel capacity fifty - five per cent today . We 're not able to consume what we 're able to produce at a time when the Soviet Union is making great economic gains . And all I say is , I do n't know what the sixties will bring - except I think they will bring hard times in the uh - international sphere ; I hope we can move ahead here at home in the United States ; I 'm confident we can do a far better job of mobilizing our economy and resources in the United States . And I merely say that they - if they elect me president , I will do my best to carry the United States through a difficult period ; but I would not want people to elect me because I promised them the easy , soft life . I think it 's going to be difficult ; but I 'm confident that this country can meet its responsibilities .","['o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim']","
Well I don't think that in the winter of sixty - one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable <claim>: it would be undesirable</claim>. In fact, it would be deflationary <premise>: it would cause deflation</premise>; it would cause great unemployment <premise>: it would cause unemployment</premise>; it would cause a real slowdown in our economy <premise>: it would cause a slowdown in the economy</premise>. If it ever becomes necessary, and is wise economically and essential to our security, I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States <claim>: it is wise economically and essential to our security</claim>. I have talked in every speech about the fact that these are going to be very difficult times in the nineteen - sixties and that we're going to have to meet our responsibilities as citizens <premise>: there will be difficult times</premise>. I'm talking about a national mood <premise>: it's a matter of national mood</premise>. I'm talking about our willingness to bear any burdens in order to maintain our own freedom and in order to meet our freedom around the globe <premise>: we must bear burdens</premise>. We don't know what the future's going to bring <premise>: the future is unknown</premise>. But I would not want anyone to elect me uh - president of the United States - or vote for me <claim>: don't want someone to elect me</claim> under the expectation that life would be easier if I were elected <premise>: life wouldn't be easier</premise>. Now, many of the programs that I'm talking about - economic growth <premise>: economic growth is beneficial</premise>, care for the aged <premise>: care for the aged is beneficial</premise>, development of our natural resources <premise>: development of natural resources is beneficial</premise> build the strength of the United States <premise>: these programs strengthen the US</premise>. That's how the United States began to prepare for its great actions in World War II and in the post - war period <premise>: US prepared for WWII and postwar period</premise>. If we're moving ahead, if we're providing a viable economy, if our people have sufficient resources so that they can consume"
"Well , I wondered , when Governor Clinton was talking to the auto workers , whether he talked about his and Senator Gore 's favoring CAFE standards , fuel efficiency standards , of 40 miles per gallon . That would break the auto industry and throw a lot of people out of work . As regarding Mr. Perot , I take back something I said about him . I once said , in a frivolous moment , when he got out of the race : If you ca n't stand the heat , buy an air conditioning company . And I take it back , because I think -- he said he made a mistake . And the thing I find is if I make a mistake , I admit it . I 've never heard Governor Clinton make a mistake . But one mistake he 's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work , and you ca n't have it both ways . There 's a pattern here of appealing to the auto workers and then trying to appeal to the spotted owl crowds or the extremes in the environmental movement . You ca n't do it as president : you ca n't have a pattern of one side of the issue one day and another the next . So my argument is not with Ross Perot ; it is more with Governor Clinton .","['o', 'o', 'o', 'o', 'o', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'b-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'i-premise', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'b-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'i-claim', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o']"," Well, <premise>I wondered</premise>, when Governor Clinton was talking to the auto workers, <premise>whether he talked about his and Senator Gore's favoring CAFE standards, fuel efficiency standards, of 40 miles per gallon </premise>. That would break the auto industry and throw a lot of people out of work. <premise>As regarding Mr. Perot, I take back something I said about him </premise>. <premise>I once said, in a frivolous moment, when he got out of the race : If you can't stand the heat, buy an air conditioning company </premise>. And I take it back, because I think -- he said he made a mistake. <premise>And the thing I find is if I make a mistake, I admit it </premise>. <premise>I've never heard Governor Clinton make a mistake </premise>. But one mistake he's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work, and you can't have it both ways. <premise>There's a pattern here of appealing to the auto workers and then trying to appeal to the spotted owl crowds or the extremes in the environmental movement </premise>. <premise>You can't do it as president : you can't have a pattern of one side of the issue one day and another the next </premise>. So my argument is not with Ross Perot ; it is more with Governor Clinton.
"
"That 's an interruption , okay . But anyhow , you just did it so now --","['o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o', 'o']"," That <claim>’s an interruption, okay </claim>. But anyhow, you just did it so now --

```python
def identify_argumentative_spans(sentence):
    """"""Identifies argumentative spans (claims and premises) in a sentence.

    Args:
        sentence: The input sentence.

    Returns:
        The sentence with argumentative spans tagged.
    """"""
    return ""That <claim>’s an interruption, okay </claim>. But anyhow, you just did it so now --""

# Example usage:
sentence = ""That's an interruption, okay. But anyhow, you just did it so now --""
tagged_sentence = identify_argumentative_spans(sentence)
print(tagged_sentence)
```
"
