text,ner_tags,response
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","vbg in dt nnp in nnp nnp nnp in nnp nnp , nnp .","<JJ>Good_evening</JJ> <IN>from</IN> <DT>the</DT> <NN>University</NN> <IN>of</IN> <NNP>Miami</NNP> <NN>Convocation</NN> <NN>Center</NN> <IN>in</IN> <NNP>Coral</NNP> <NNP>Gables</NNP> , <NNP>Florida</NNP> ."
I 'm Jim Lehrer of The NewsHour on PBS .,prp vbp nnp nnp in dt nn in nnp .,<PRP>I</PRP> <VBP>'m</VBP> <NNP>Jim</NNP> <NNP>Lehrer</NNP> <IN>of</IN> <DT>The</DT> <NNP>NewsHour</NNP> <IN>on</IN> <NNP>PBS</NNP> <PUNCT>.</PUNCT>
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","cc prp vbp prp to dt jj in dt cd jj nns in nnp nnp nnp nnp , dt jj nn , cc nnp nnp nnp , dt jj nn .","<CC>And</CC> <PRP>I</PRP> <VBP>welcome</VBP> <PRP>you</PRP> <TO>to</TO> <DT>the</DT> <JJ>first</JJ> <IN>of</IN> <CD>2004</CD> <JJ>presidential</JJ> <NNS>debates</NNS> <IN>between</IN> <NNP>President</NNP> <NNP>George</NNP> <NNP>W</NNP> <NNP>Bush</NNP> <,>,</,> <DT>the</DT> <JJ>Republican</JJ> <NN>nominee</NN> <,>,</,> <CC>and</CC> <NNP>Senator</NNP> <NNP>John</NNP> <NNP>Kerry</NNP> <,>,</,> <DT>the</DT> <JJ>Democratic</JJ> <NN>nominee</NN> <.>.>"
These debates are sponsored by the Commission on Presidential Debates .,dt nns vbp vbn in dt nnp in nnp nns .,<DT>These</DT> <NNS>debates</NNS> <VBP>are</VBP> <VBN>sponsored</VBN> <IN>by</IN> <DT>the</DT> <NN>Commission</NN> <IN>on</IN> <NNP>Presidential</NNP> <NNS>Debates</NNS><.>.</.>
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","nnp pos md vb cd nns , vbg jj nns in nn vbn rp in nns in dt nns .","<NN>Tonight</NN> <POS>'s</POS> <MD>will</MD> <VB>last</VB> <CD>90</CD> <NNS>minutes</NNS> <,>,</>,> <VBG>following</VBG> <JJ>detailed</JJ> <NNS>rules</NNS> <IN>of</IN> <NN>engagement</NN> <VBN>worked</VBN> <PRT>out</PRT> <IN>by</IN> <NNS>representatives</NNS> <IN>of</IN> <NNS>the</NNS> <NNS>candidates</NNS> <.>.>"
I have agreed to enforce rules on them .,prp vbp vbn to vb nns in prp .,<PRP>I</PRP> <VBP>have</VBP> <VBN>agreed</VBN> <TO>to</TO> <VB>enforce</VB> <NNS>rules</NNS> <IN>on</IN> <PRP>them</PRP> <PUNCT>.</PUNCT>
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","dt nn nn vbz jj nn cc nn nn , cc dt jj nns vbd vbn in prp , dt nns vbd vbn in prp , dt nns vbp rb vbn vbn wp prp vbp , cc vbz nn rb .","<DT>The</DT> <NN>umbrella</NN> <NN>topic</NN> <VBZ>is</VBZ> <JJ>foreign</JJ> <NN>policy</NN> <CC>and</CC> <NN>homeland</NN> <NN>security</NN> <,>, <CC>but</CC> <DT>the</DT> <JJ>specific</JJ> <NNS>subjects</NNS> <VBD>were</VBD> <VBN>chosen</VBN> <IN>by</IN> <PRP>me</PRP> <,>, <DT>the</DT> <NNS>questions</NNS> <VBD>were</VBD> <VBN>composed</VBN> <IN>by</IN> <PRP>me</PRP> <,>, <DT>the</DT> <NNS>candidates</NNS> <VHP>have</VHP> <RB>not</RB> <VBN>been</VBN> <VBN>told</VBN> <WDT>what</WDT> <PRP>they</PRP> <VBP>are</VBP> <,>, <CC>nor</CC> <VHS>has</VHS> <NP>anyone</NP> <DT>else</DT> <.>.>"
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","in dt nn ex md rb vb dt jj nn , dt cd : jj nn cc , in nn , dt nn nn in cd nn .","<IN>For</IN> <DT>each</DT> <NN>question</NN> <EX>there</EX> <MD>can</MD> <RB>only</RB> <VB>be</VB> <DT>a</DT> <JJ>two-minute</JJ> <NN>response</NN> <,> ,</,> <DT>a</DT> <CD>90</CD> <HYPH> - </HYPH> <NN>second</NN> <NN>rebuttal</NN> <CC>and</CC> <,> ,</,> <IN>at</IN> <NN>discretion</NN> <,> ,</,> <DT>a</DT> <NN>discussion</NN> <NN>extension</NN> <IN>of</IN> <CD>one</CD> <NN>minute</NN> <.>.</.>"
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","dt jj nn md vb in wrb cd nns vbp in dt vbn nn , jj in cd , jj in cd nns , cc rb vbg jj nns nn vbz rb .","<AJJ>green</AJJ> <NN>light</NN> <MD>will</MD> <VB>come</VB> <IN>on</IN> <WRB>when</WRB> <CD>30</CD> <NNS>seconds</NNS> <VBP>remain</VBP> <IN>in</IN> <DT>any</DT> <JJ>given</JJ> <NN>answer</NN> , <JJ>yellow</JJ> <IN>at</IN> <CD>15</CD> , <JJ>red</JJ> <IN>at</IN> <CD>five</CD> <NNS>seconds</NNS> , <CC>and</CC> <RB>then</RB> <VBG>flashing</VBG> <JJ>red</JJ> <VB>means</VB> <NN>time</NN> <POS>'s</POS> <NN>up</NN> ."
There is also a backup buzzer system if needed .,ex vbz rb dt jj nn nn in vbd .,<EX>There</EX> <VBZ>is</VBZ> <RB>also</RB> <DT>a</DT> <NN>backup</NN> <NN>buzzer</NN> <NN>system</NN> <IN>if</IN> <VBN>needed</VBN> <.>.</.>
