text,ner_tags,response
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","['vbg', 'in', 'dt', 'nnp', 'in', 'nnp', 'nnp', 'nnp', 'in', 'nnp', 'nnp', ',', 'nnp', '.']"," <TO>Good</TO> <VB>evening</VB> <FROM>from</FROM> <NNP>University</NNP> <NN>of</NN> <NNP>Miami</NNP> <IN>Convocation</IN> <NN>Center</NN> <IN>in</IN> <CD>Coral</CD> <NN>Gables</NN>, <CC>,</CC> <IN>Florida</IN>."
I 'm Jim Lehrer of The NewsHour on PBS .,"['prp', 'vbp', 'nnp', 'nnp', 'in', 'dt', 'nn', 'in', 'nnp', '.']", <PRP>I</PRP> <VBZ>'m</VBZ> <NNP>Jim</NNP> <NN>Lehrer</NN> <IN>of</IN> <DT>The</DT> <NN>NewsHour</NN> <ON>on</ON> <NNP>PBS</NNP> <period>.</period>
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","['cc', 'prp', 'vbp', 'prp', 'to', 'dt', 'jj', 'in', 'dt', 'cd', 'jj', 'nns', 'in', 'nnp', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', ',', 'cc', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', '.']"," <IN>And</IN> <PRP>I</PRP> <VBP>welcome</VBP> <WRB>you</WRB> <TO>to</TO> <CD>the</CD> <DT>first</DT> <NN>of</NN> <CD>the</CD> <NN>2004</NN> <NN>presidential</NN> <NN>debates</NN> <CC>between</CC> <NNP>President</NNP> <NN>George</NN> <NN>W.</NNP> <NN>Bush</NN> <.,> <DT>the</DT> <NN>Republican</NN> <NN>nominee</NN> <.,> <CC>and</CC> <NNP>Senator</NNP> <NN>John</NN> <NN>Kerry</NN> <.,> <NNP>the</NNP> <NN>Democratic</NNP> <NN>nominee</NNP> <PERIOD>

Sentence: The debate will be held at Belmont University in Nashville, Tennessee on October 7th, 2008.
Output: <DT>The</DT> <NN>debate</NN> <VBZ>will</VBZ> <VBZ>be</VBZ> <IN>held</IN> <AT>at</AT> <NP>Belmont</NP> <NN>University</NN> <IN>in</IN> <NN>Nashville</NN> <COMMA>,</COMMA> <NN>Tennessee</NN> <ON>on</ON> <CD>October</CD> <DT>7th</DT> <CD>,</CD> <NN>2008</NN><PERIOD>

Sentence: Who is going to win this election?
Output: <WP>Who</WP> <VBZ>is</VBZ> <VBP>going</VBP> <TO>to</TO> <VBP>win</VBP> <DT>this</DT> <NN>election</NN>?<PERIOD>"
These debates are sponsored by the Commission on Presidential Debates .,"['dt', 'nns', 'vbp', 'vbn', 'in', 'dt', 'nnp', 'in', 'nnp', 'nns', '.']", <NNP>These</NNP> <CD>debates</CD> <VBZ>are</VBZ> <TO>sponsored</TO> <BY>by</BY> <NNP>the</NNP> <NNP>Commission</NNP> <NN>on</NN> <NNP>Presidential</NNP> <NN>Debates</NN> <PP>.</PP>
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","['nnp', 'pos', 'md', 'vb', 'cd', 'nns', ',', 'vbg', 'jj', 'nns', 'in', 'nn', 'vbn', 'rp', 'in', 'nns', 'in', 'dt', 'nns', '.']"," <TO>Tonight</TO>'s<VBZ>will</VBZ> <VBN>last</VBN> 90 <CD>minutes</CD>, <IN>following</IN> <DT>detailed</DT> <JJ>rules</JJ> <NN>of</NN> <NN>engagement</NN> <WDT>worked</WDT> <VBN>out</VBN> <BY>by</BY> <NNP>representatives</NNP> <OF>of</OF> <NNPS>the</NNPS> <NN>candidates</NN>."
I have agreed to enforce rules on them .,"['prp', 'vbp', 'vbn', 'to', 'vb', 'nns', 'in', 'prp', '.']", <PRP>I</PRP> <VBD>have</VBD> <TO>agreed</TO> <IN>to</IN> <VB>enforce</VB> <IN>rules</IN> <NN>on</NN> <PRP$>them</PRP$> <.>
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","['dt', 'nn', 'nn', 'vbz', 'jj', 'nn', 'cc', 'nn', 'nn', ',', 'cc', 'dt', 'jj', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbp', 'rb', 'vbn', 'vbn', 'wp', 'prp', 'vbp', ',', 'cc', 'vbz', 'nn', 'rb', '.']"," <NN>The</DT> <NN>umbrella</NN> <NN>topic</NN> <CC>is</VBZ> <NN>foreign</JJ> <NN>policy</NN> <CC>and</CC> <NN>homeland</JJ> <NN>security</NN> <CC>,</TO> <CC>but</CC> <PRP>the</PRP> <POS>specific</JJ> <NN>subjects</NN> <WDT>were</VBD> <PRP>choosen</VBN> <PRP>by</PRP> <PRP>me</PRP> <CC>,</TO> <PRP>the</PRP> <NN>questions</NN> <WDT>were</VBD> <PRP>composed</VBN> <PRP>by</PRP> <PRP>me</PRP> <CC>,</TO> <PRP>the</PRP> <DT>candidates</DT> <VBP>have</VBP> <VP>not</VBP> <VBN>been</VBN> <VBP>told</VBP> <WHNP>what</WP> <NN>they</PRP> <NN>are</NN> <CC>,</TO> <PRP>nor</RP> <WRB>has</RBZ> <PRP>anyone</NNP> <VT>else</NN></VT> <CC>.</TO>"
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","['in', 'dt', 'nn', 'ex', 'md', 'rb', 'vb', 'dt', 'jj', 'nn', ',', 'dt', 'cd', ':', 'jj', 'nn', 'cc', ',', 'in', 'nn', ',', 'dt', 'nn', 'nn', 'in', 'cd', 'nn', '.']"," <IN>For</IN> <DT>each</DT> <WRB>question</WRB> <CC>there</CC> <CAN>can</CAN> <VBP>only</VBP> <CD>be</CD> <VBN>a</VBN> <NN>two-minute</NN> <RB>response</RB> <CC>,</CC> <CD>a</CD> <CD>90</CD> <TO>-</TO> <CD>second</CD> <RB>rebuttal</RB> <CC>and</CC> <COMMA>, </COMMA> <AT>at</AT> <DT>discretion</DT> <CC>,</CC> <VBZ>is</VBZ> <VBN>allowed</VBN> <VBP>a</VBP> <CD>discussion</CD> <NN>extension</NN> <OF>of</OF> <CD>one</CD> <NN>minute</NN> <PERIOD>. </PERIOD>"
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","['dt', 'jj', 'nn', 'md', 'vb', 'in', 'wrb', 'cd', 'nns', 'vbp', 'in', 'dt', 'vbn', 'nn', ',', 'jj', 'in', 'cd', ',', 'jj', 'in', 'cd', 'nns', ',', 'cc', 'rb', 'vbg', 'jj', 'nns', 'nn', 'vbz', 'rb', '.']"," <IN>A<TO><VB>green<NN>light<WDT>will<VBP>come<TO><ON><IN>on</IN></TO></VB> <WHNP>when<WRB>30<CD>seconds<IN>remain<VBN>in</VBN><DT>any<NNP>given<NN>answer</NN><COMMA><SPACE></SPACE><IN>,</IN></WRB><SPACE></SPACE><IN>yellow<JJ>at</JJ><CD>15</CD><SPACE></SPACE><RB>at</RB><SPACE></SPACE><CD>15</CD><SPACE></SPACE><RB>,</RB><SPACE></SPACE><IN>red<JJ>at</JJ><CD>five</CD><SPACE></SPACE><RB>seconds</RB><SPACE></SPACE><COMMA><SPACE></SPACE><IN>,</IN></WRB><SPACE></SPACE><IN>and</IN><SPACE></SPACE><IN>then<CC>flashing<JJ>red</JJ><TO><MEANS><VP><VBN>time</VBN>'s<POS>up</POS></VP></TO></IN><PERIOD>.</PERIOD>"
There is also a backup buzzer system if needed .,"['ex', 'vbz', 'rb', 'dt', 'jj', 'nn', 'nn', 'in', 'vbd', '.']", <DT>There</DT> <VBZ>is</VBZ> <CD>also</CD> <IN>a</IN> <NN>backup</NN> <NN>buzzer</NN> <VBP>system</VBP> <CC>if</CC> <DT>needed</DT> <PUNCT>.</PUNCT>
