text,ner_tags,response
The United Kingdom welcomed that agreement and the opportunity it offered for restoring stability in Ukraine .,b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,<claim>The United Kingdom welcomed that agreement and the opportunity it offered for restoring stability in Ukraine</claim>
"Based on the United Nations principle of collective self - defence , we have called on many countries and organizations for assistance .",b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,"<claim>Based on the United Nations principle of collective self - defence , we have called on many countries and organizations for assistance .</claim>"
"Nonetheless , the crisis in eastern Ukraine is not merely a matter of public order but a political issue that must be resolved through genuine dialogue with all Ukrainian parties , with a view to ensuring sustainable peace and equal rights for all , including the Russian - speaking minority .",b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<claim>the crisis in eastern Ukraine is not merely a matter of public order but a political issue that must be resolved through genuine dialogue with all Ukrainian parties , with a view to ensuring sustainable peace and equal rights for all , including the Russian - speaking minority</claim>"
It has been claimed that Ukraine is building up its military presence and resorting to militarization .,b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,<claim>It has been claimed that Ukraine is building up its military presence and resorting to militarization</claim>
We hae to let it work .,b-claim i-claim i-claim i-claim i-claim i-claim i-claim,<claim>We hae to let it work .</claim>
"Had the separatists respected and carried out the Geneva statement , had they not taken up arms against their own State in the first place , none of that would be happening .",b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise o o o o o o o,"<claim>Had the separatists respected and carried out the Geneva statement</claim>, <claim>had they not taken up arms against their own State in the first place</claim>, <claim>none of that would be happening</claim>."
"Just today , pro - Russian separatists armed with baseball bats , stormed the Government buildings in Luhansk , seizing control of the centre of municipal activity in one of the largest cities in eastern Ukraine .",b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,"<premise>Just today , pro - Russian separatists armed with baseball bats , stormed the Government buildings in Luhansk , seizing control of the centre of municipal activity in one of the largest cities in eastern Ukraine .</premise>"
That is completely unacceptable .,b-claim i-claim i-claim i-claim i-claim,<claim>That is completely unacceptable .</claim>
"In sum , all of the problems that the United Nations , and the Security Council in particular , were created to address , are frozen .",b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<claim>In sum , all of the problems that the United Nations , and the Security Council in particular , were created to address , are frozen .</claim>"
"We take a generally positive view of cooperation between the United Nations and the OSCE in the field , for example , through the OSCE Mission in Kosovo .",b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<claim>We take a generally positive view of cooperation between the United Nations and the OSCE in the field , for example , through the OSCE Mission in Kosovo .</claim>"
The country has become a threat to international peace and security .,b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim o,<claim>The country has become a threat to international peace and security .</claim>
"After numerous calls for the de - escalation of the crisis , the situation has become more complex for the diverse Ukrainian community .",b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,"<claim>After numerous calls for the de - escalation of the crisis</claim>, <premise>the situation has become more complex for the diverse Ukrainian community.</premise>"
So much for Russia 's claims that it is not a party to this conflict .,b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,<claim>So much for Russia 's claims that it is not a party to this conflict .</claim>
Any attempt by the parties to resume the fighting flouts international efforts aimed at reaching a lasting and peaceful solution to the conflict .,b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,<claim>Any attempt by the parties to resume the fighting flouts international efforts aimed at reaching a lasting and peaceful solution to the conflict</claim>
In Donbas they were attacked with bullets and shells .,b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,<premise>In Donbas they were attacked with bullets and shells .</premise>
"Moscow must make clear to the militant authorities that that effort will hinder the peace process and that the results of that illegal vote , organized in violation of Ukrainian legislation , will never be recognized .",b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<claim>Moscow must make clear to the militant authorities that that effort will hinder the peace process and that the results of that illegal vote , organized in violation of Ukrainian legislation , will never be recognized</claim>"
"Such elections would be illegal , would contravene the Minsk agreements , and would present a significant obstacle to a lasting peace in Ukraine .",o o o o o o b-premise i-premise i-premise i-premise i-premise o o o o o o o o o o o o o o,"<claim>Such elections would be illegal , would contravene the Minsk agreements , and would present a significant obstacle to a lasting peace in Ukraine .</claim>"
"Yet , rather than observe the ceasefire , the separatists have taken advantage of the agreed - upon pause in the fighting to try and expand their territory beyond Minsk lines .",o o o o o o o o b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<claim>Yet , rather than observe the ceasefire , the separatists have taken advantage of the agreed - upon pause in the fighting to try and expand their territory beyond Minsk lines .</claim>"
"Nearby , three bodies were recently pulled from a river , each showing unmistakable signs of physical abuse ; one has been identified as a local politician , another as a 19 year - old pro - unity student activist .",b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,"Nearby , <premise>three bodies were recently pulled from a river , each showing unmistakable signs of physical abuse ; one has been identified as a local politician , another as a 19 year - old pro - unity student activist</premise>."
Let us not forget that such protests were a prelude to the annexation of Crimea .,b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,<claim>Let us not forget that such protests were a prelude to the annexation of Crimea</claim>
The Ukrainian film director Oleg Sentsov is also being illegally held captive .,b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,<claim>The Ukrainian film director Oleg Sentsov is also being illegally held captive.</claim>
The work being done there is vital to the beleaguered residents of Marinka and to all Ukrainians in the eastern part of the country .,b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,<premise>The work being done there is vital to the beleaguered residents of Marinka and to all Ukrainians in the eastern part of the country .</premise>
Russia has chosen not to uphold its commitments and pursue this path to restoring stability .,b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,<claim>Russia has chosen not to uphold its commitments and pursue this path to restoring stability</claim>
"We are witnessing well - armed , well - trained personnel , using military weapons , who are intent on armed provocation .",b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<claim>We are witnessing well - armed , well - trained personnel , using military weapons , who are intent on armed provocation .</claim>"
"It must control its border with Ukraine and prevent the flow of weapons , equipment and fighters from Russia into Ukraine .",b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<claim>It must control its border with Ukraine and prevent the flow of weapons , equipment and fighters from Russia into Ukraine .</claim>"
That is false ; additional images released on 11 April show clearly that the build - up started in early March of this year .,o o o o b-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise i-premise,<claim>That is false</claim> ; <premise>additional images released on 11 April show clearly that the build - up started in early March of this year</premise>
"The illegal movement of cargo from the territory of the Russian Federation through the State border , which the Russian delegation today characterized as humanitarian aid , to the civilians of the Donetsk and Luhansk regions , is also a matter of deep concern to Ukraine .",b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,"<premise>The illegal movement of cargo from the territory of the Russian Federation through the State border , which the Russian delegation today characterized as humanitarian aid , to the civilians of the Donetsk and Luhansk regions , is also a matter of deep concern to Ukraine .</premise>"
Mr. Churkin ( Russian Federation ) ( spoke in Russian ): The Russian Federation is seriously concerned about the escalation of the situation in Ukraine .,o o o o o o o o o o o b-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim i-claim,<claim>Mr. Churkin ( Russian Federation ) ( spoke in Russian ): The Russian Federation is seriously concerned about the escalation of the situation in Ukraine .</claim>
