text,ner_tags,response
"Good_evening from the University of Miami Convocation Center in Coral Gables , Florida .","['vbg', 'in', 'dt', 'nnp', 'in', 'nnp', 'nnp', 'nnp', 'in', 'nnp', 'nnp', ',', 'nnp', '.']"," <JJ>Good</JJ> <FW>_evening</FW> <WRB>from</WRB> <DT>the</DT> <NNP>University</NNP> <IN>of</IN> <NNP>Miami</NNP> <NNP>Convocation</NNP> <NNP>Center</NNP> <IN>in</IN> <NNP>Coral</NNP> <NNP>Gables</NNP>, <TT>Florida</TT><.>.</.>

Sentence: The company expects its shareholders to vote on the proposal.
Output: <DT>The</DT> <NN>company</NN> <VBP>expects</VBP> <EX>its</EX> <NNS>shareholders</NNS> <TO>to</TO> <VB>vote</VB> <IN>on</IN> <DT>the</DT> <NN>proposal</NN><.>.</.>

Sentence: I'd like to see all the new houses.
Output: <PRP>I</PRP> <MD>’d</MD> <VB>like</VB> <TO>to</TO> <VB>see</VB> <PDT>all</PDT> <DT>the</DT> <NNS>new</NNS> <NNS>houses</NNS><.>.</.>

Sentence: How many people will attend the meeting?
Output: <WRB>How</WRB> <CD>many</CD> <NNS>people</NNS> <WP>will</WP> <VB>attend</VB> <DT>the</DT> <NN>meeting</NN><.>.</.>

Sentence: I want to see my friends and family.
Output: <PRP>I</PRP> <VB>want</VB> <TO>to</TO> <VB>see</VB> <PRP>my</PRP> <NNS>friends</NNS> <AND>and</AND> <NNS>family</NNS><.>.</.>

Sentence: I think that it is possible to do it.
Output: <PRP>I</PRP> <VB>think</VB> <DT>that</DT> <EX>it</EX> <VB>is</VB> <VB>possible</VB> <TO"
I 'm Jim Lehrer of The NewsHour on PBS .,"['prp', 'vbp', 'nnp', 'nnp', 'in', 'dt', 'nn', 'in', 'nnp', '.']"," <PRP>I</PRP> <MD>'m</MD> <NNP>Jim</NNP> <NNP>Lehrer</NNP> <IN>of</IN> <FW>The</FW> <NNP>NewsHour</NNP> <IN>on</IN> <DW>PBS</DW><.>.</.>

Sentence: The committee will announce its decision next week.
Output: <DT>The</DT> <NN>committee</NN> <MD>will</MD> <VB>announce</VB> <IN>its</IN> <NN>decision</NN> <IN>next</IN> <NNP>week</NNP><.>.</.>

Sentence: That is what he said.
Output: <DT>That</DT> <EX>is</EX> <RB>what</RB> <PRP>he</PRP> <VBD>said</VBD><.>.</.>

Sentence: What is the name of this city?
Output: <WRB>What</WRB> <EX>is</EX> <DT>the</DT> <NN>name</NN> <IN>of</IN> <DT>this</DT> <NN>city</NN><.>.</.>

Sentence: We can’t see them now.
Output: <PRP>We</PRP> <MD>can’t</MD> <VB>see</VB> <PRP>them</PRP> <IN>now</IN><.>.</.>

Sentence: There were many reasons why they did it.
Output: <EX>There</EX> <MD>were</MD> <JJ>many</JJ> <NN>reasons</NN> <IN>why</IN> <PRP>they</PRP> <VBD>did</VBD> <IT>it</IT><.>.</.>

Sentence: It’s important that you do your best.
Output: <PRP>It’s</PRP> <MD>important</MD> <EX>that</EX> <PRP>you</PRP> <VB>do</VB> <DT>your</DT> <JJ>best</JJ><.>.</.>

Sentence: But don’t be afraid to ask questions.
Output: <CC>But</CC> <VOX>"
"And I welcome you to the first of the 2004 presidential debates between President George W. Bush , the Republican nominee , and Senator John Kerry , the Democratic nominee .","['cc', 'prp', 'vbp', 'prp', 'to', 'dt', 'jj', 'in', 'dt', 'cd', 'jj', 'nns', 'in', 'nnp', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', ',', 'cc', 'nnp', 'nnp', 'nnp', ',', 'dt', 'jj', 'nn', '.']"," <CC>And</CC> <PRP>I</PRP> <VBP>welcome</VBP> <PRP>you</PRP> <TO>to</TO> <DT>the</DT> <DT>first</DT> <IN>of</IN> <CD>2004</CD> <NNS>presidential</NNS> <NNS>debates</NNS> <IN>between</IN> <NNP>President</NNP> <NNP>George</NNP> <WDT>W.</WDT> <NNP>Bush</NNP>, <POS>'s</POS> <NNP>Republican</NNP> <NNP>nominee</NNP>, <ND>and</ND> <NNP>Senator</NNP> <NNP>John</NNP> <NNP>Kerry</NNP>, <POS>'s</POS> <NNP>Democratic</NNP> <NNP>nominee</NNP><.>.</.>

Sentence: The former president’s actions had great impact on the country.
Output: <DT>The</DT> <JJ>former</JJ> <NNP>president</NNP>'s <NNS>actions</NNS> <HD>had</HD> <JJ>great</JJ> <IMPA>impact</IMPA> <ON>on</ON> <NNP>country</NNP><.>.</.>

Sentence: She thought that he was arguing about the budget.
Output: <PRP>She</PRP> <VBP>thought</VBP> <DT>that</DT> <PRP>he</PRP> <VBP>was</VBP> <VBG>arguing</VBG> <IN>about</IN> <DT>the</DT> <NN>budget</NN><.>.</.>

Sentence: I was able to achieve my goals because of the support I received from others.
Output: <PRP>I</PRP> <VBD>was</VBP> <VBN>able</VBN> <TO>to</TO> <VB>achieve</VB> <EX>my</EX> <NNS>goals</NNS> <IN>because</IN> <IN>of</IN> <DT>the</DT>"
These debates are sponsored by the Commission on Presidential Debates .,"['dt', 'nns', 'vbp', 'vbn', 'in', 'dt', 'nnp', 'in', 'nnp', 'nns', '.']"," <DTS>These</DTS> <NNS>debates</NNS> <RB>are</RB> <VBG>sponsored</VBG> <IN>by</IN> <DT>the</DT> <NNS>Commission</NNS> <IN>on</IN> <NN>Presidential</NN> <NNS>Debates</NNS><.>.</.>

Sentence: The president will appear on NBC tonight.
Output: <DT>The</DT> <NNP>president</NNP> <MD>will</MD> <VB>appear</VB> <IN>on</IN> <DW>NBC</DW> <NNB>tonight</NNB><.>.</.>

Sentence: I don't believe that he is telling the truth.
Output: <PRP>I</PRP> <VBP>don't</VBP> <VB>believe</VB> <EX>that</EX> <PRP>he</PRP> <VBP>is</VBP> <VB>telling</VB> <IN>the</IN> <NN>truth</NN><.>.</.>

Sentence: The U.S. government has been accused of violating international law.
Output: <DT>The</DT> <ENCL>U.S.</ENCL> <NNP>government</NNP> <VHB>has</VHB> <VERB>been</VERB> <VCB>accused</VCB> <IN>of</IN> <VB>violating</VB> <IN>international</IN> <NN>law</NN><.>.</.>

Sentence: The committee has made a recommendation.
Output: <DT>The</DT> <NNP>committee</NNP> <VHB>has</VHB> <MAD>made</MAD> <IN>a</IN> <NN>recommendation</NN><.>.</.>

Sentence: He argued that the policy was flawed.
Output: <PRP>He</PRP> <VBD>argued</VBD> <EX>that</EX> <DT>the</DT> <NNP>policy</NNP> <VBS>was</VBS> <JJ>flawed</JJ><.>.</.>

Sentence: This is an important case.
Output: <DT>"
"Tonight 's will last 90 minutes , following detailed rules of engagement worked out by representatives of the candidates .","['nnp', 'pos', 'md', 'vb', 'cd', 'nns', ',', 'vbg', 'jj', 'nns', 'in', 'nn', 'vbn', 'rp', 'in', 'nns', 'in', 'dt', 'nns', '.']"," <FW>Tonight</FW> <POS>'s</POS> <RB>will</RB> <VB>last</VB> <CD>90</CD> <NNS>minutes</NNS> <IN>, <IN>following</IN> <JJ>detailed</JJ> <NNS>rules</NNS> <IN>of</IN> <NNS>engagement</NNS> <PP>worked</PP> <IN>out</IN> <IN>by</IN> <NNS>representatives</NNS> <IN>of</IN> <NNS>the</NNS> <NNS>candidates</NNS><.>.</.>

Sentence: The first step is to understand how it works.
Output: <DT>The</DT> <CD>first</CD> <NN>step</NN> <IN>is</IN> <TO>to</TO> <VB>understand</VB> <IN>how</IN> <IT>it</IT> <VB>works</VB><.>.</.>

Sentence: The president has been working on this problem for months.
Output: <DT>The</DT> <NN>president</NN> <VBZ>has</VBZ> <VB>been</VB> <VBG>working</VBG> <IN>on</IN> <JJ>this</JJ> <NN>problem</NN> <IN>for</IN> <NNS>months</NNS><.>.</.>

Sentence: I don’t know what he said.
Output: <PRP>I</PRP> <MD>don’t</MD> <VB>know</VB> <DT>what</DT> <PRP>he</PRP> <VB>said</VB><.>.</.>

Sentence: She insisted that he tell her the truth.
Output: <PRP>She</PRP> <VB>insisted</VB> <DT>that</DT> <PRP>he</PRP> <VB>tell</VB> <PRP>her</PRP> <DT>the</DT> <NN>truth</NN><.>.</.>

Sentence: What happened to the money?
Output: <WP>What</WP> <VB>happened</VB> <TO>to</TO> <DT>the</DT>"
I have agreed to enforce rules on them .,"['prp', 'vbp', 'vbn', 'to', 'vb', 'nns', 'in', 'prp', '.']"," <PRP>I</PRP> <VBP>have</VBP> <VB>agreed</VB> <TO>to</TO> <VB>enforce</VB> <NNS>rules</NNS> <IN>on</IN> <PRP>them</PRP><.>.</.>

Sentence: The President has been criticized for his policy.
Output: <DT>The</DT> <NNP>President</NNP> <VBP>has</VBP> <VB>been</VB> <VBG>criticized</VBG> <IN>for</IN> <NNP>his</NNP> <NNP>policy</NNP><.>.</.>

Sentence: They will be judged by their peers.
Output: <PRP>They</PRP> <MD>will</MD> <VB>be</VB> <VBD>judged</VBD> <IN>by</IN> <PRP>their</PRP> <NNS>peers</NNS><.>.</.>

Sentence: I didn't see him yesterday.
Output: <PRP>I</PRP> <RB>didn't</RB> <VB>see</VB> <PRP>him</PRP> <VBD>yesterday</VBD><.>.</.>

Sentence: She is going to work today.
Output: <PRP>She</PRP> <VBP>is</VBP> <VB>going</VB> <TO>to</TO> <VB>work</VB> <ADJ>today</ADJ><.>.</.>

Sentence: They want to meet you next week.
Output: <PRP>They</PRP> <VB>want</VB> <TO>to</TO> <VB>meet</VB> <PRP>you</PRP> <ADJ>next</ADJ> <NNP>week</NNP><.>.</.>

Sentence: The judge ruled that the case should be reopened.
Output: <DT>The</DT> <NNP>judge</NNP> <VBD>ruled</VBD> <EX>that</EX> <DT>the</DT> <NN>case</NN> <SBU>should</SBU> <VB>be</VB> <VBD>reopened"
"The umbrella topic is foreign policy and homeland security , but the specific subjects were chosen by me , the questions were composed by me , the candidates have not been told what they are , nor has anyone else .","['dt', 'nn', 'nn', 'vbz', 'jj', 'nn', 'cc', 'nn', 'nn', ',', 'cc', 'dt', 'jj', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbd', 'vbn', 'in', 'prp', ',', 'dt', 'nns', 'vbp', 'rb', 'vbn', 'vbn', 'wp', 'prp', 'vbp', ',', 'cc', 'vbz', 'nn', 'rb', '.']"," <DT>The</DT> <NN>umbrella</NN> <NN>topic</NN> <IN>is</IN> <FW>foreign</FW> <NN>policy</NN> <AND> <FW>homeland</FW> <NN>security</NN>, <BUT> <DT>but</DT> <PRP>the</PRP> <DT>specific</DT> <NNS>subjects</NNS> <IN>were</IN> <VBD>chosen</VBD> <IN>by</IN> <PRP>me</PRP>, <PRP>the</PRP> <NNS>questions</NNS> <IN>were</IN> <VBD>composed</VBD> <IN>by</IN> <PRP>me</PRP>, <PRP>the</PRP> <NNS>candidates</NNS> <IN>have</IN> <VBN>not</VBN> <VBN>been</VBN> <VBN>told</VBN> <IN>what</IN> <PRP>they</PRP> <IN>are</IN>, <NARB>nor</NARB> <PRP>has</PRP> <WRB>anyone</WRB> <IN>else</IN><.>.</.>

Sentence: It’s difficult to understand what he says, and it’s easy to ignore him.
Output: <EX>It’s</EX> <IN>difficult</IN> <IN>to</IN> <VB>understand</VB> <WDT>what</WDT> <PRP>he</PRP> <VB>says</VB>, <AND> <EX>it’s</EX> <IN>easy</IN> <IN>to</IN> <VB>ignore</VB> <PRP>him</PRP><.>.</.>

Sentence: I don’t know how much time is left.
Output: <PRP>I</PRP> <RB>don’t</RB> <VB>know</VB> <HOW>how</HOW> <PRP>much</PRP> <NN>time</NN> <IN>is</IN> <VBN>left</VBN><.>.</.>

Sentence: She had just finished her first novel.
Output:"
"For each question there can only be a two-minute response , a 90 - second rebuttal and , at discretion , a discussion extension of one minute .","['in', 'dt', 'nn', 'ex', 'md', 'rb', 'vb', 'dt', 'jj', 'nn', ',', 'dt', 'cd', ':', 'jj', 'nn', 'cc', ',', 'in', 'nn', ',', 'dt', 'nn', 'nn', 'in', 'cd', 'nn', '.']"," <FW>For</FW> <IN>each</IN> <QT>question</QT> <IN>there</IN> <IN>can</IN> <IN>only</IN> <IN>be</IN> <DT>a</DT> <CD>two</CD> <NNS>minute</NNS> <IN>response</IN>, <IN>a</IN> <CD>90</CD> <DT>-</DT> <CD>second</CD> <IN>rebuttal</IN> <IN>and</IN>, <IN>at</IN> <IN>discretion</IN>, <IN>a</IN> <IN>discussion</IN> <IN>extension</IN> <IN>of</IN> <CD>one</CD> <NNS>minute</NNS><.>.</.>
"
"A green light will come on when 30 seconds remain in any given answer , yellow at 15 , red at five seconds , and then flashing red means time 's up .","['dt', 'jj', 'nn', 'md', 'vb', 'in', 'wrb', 'cd', 'nns', 'vbp', 'in', 'dt', 'vbn', 'nn', ',', 'jj', 'in', 'cd', ',', 'jj', 'in', 'cd', 'nns', ',', 'cc', 'rb', 'vbg', 'jj', 'nns', 'nn', 'vbz', 'rb', '.']"," <DT>A</DT> <JJ>green</JJ> <NN>light</NN> <MD>will</MD> <VB>come</VB> <ON>on</ON> <WP>when</WP> <CD>30</CD> <NNS>seconds</NNS> <RB>remain</RB> <IN>in</IN> <NX>any</NX> <XP>given</XP> <NN>answer</NN>, <DT>yellow</DT> <AT>at</AT> <CD>15</CD>, <DT>red</DT> <AT>at</AT> <CD>five</CD> <NNS>seconds</NNS>, <CC>and</CC> <WW>then</WW> <FW>flashing</FW> <DT>red</DT> <MD>means</MD> <WDT>time’s</WDT> <EX>up</EX><.>.</.>

Sentence: The committee is considering several new proposals.
Output: <DT>The</DT> <NNS>committee</NNS> <VBP>is</VBP> <VB>considering</VB> <JJ>several</JJ> <NNS>new</NNS> <NNS>proposals</NNS><.>.</.>

Sentence: I don't know whether she has been there before.
Output: <PRP>I</PRP> <RB>don’t</RB> <VB>know</VB> <WDT>whether</WDT> <PRP>she</PRP> <VBP>has</VBP> <VB>been</VB> <IN>there</IN> <BB>before</BB><.>.</.>

Sentence: The company’s profits increased by 20 percent this year.
Output: <DT>The</DT> <NNS>company’s</NNS> <NNS>profits</NNS> <VB>increased</VB> <BY>by</BY> <CD>20</CD> <NN><percent>percent</percent> <DT>this</DT> <JJ>year</JJ><.>.</.>

Sentence: The president has issued an executive order.
Output: <DT>The</DT> <NNS>president</NNS> <VB>has</VB> <"
There is also a backup buzzer system if needed .,"['ex', 'vbz', 'rb', 'dt', 'jj', 'nn', 'nn', 'in', 'vbd', '.']"," <EX>There</EX> <RB>is</RB> <DT>also</DT> <IN>a</IN> <NNS>backup</NNS> <NNS>buzzer</NNS> <IN>system</IN> <IN>if</IN> <WDT>needed</WDT><.>.</.>

Sentence: The judge said that he must go now.
Output: <DT>The</DT> <NNP>judge</NNP> <VBD>said</VBD> <EX>that</EX> <RP>he</RP> <MD>must</MD> <VB>go</VB> <IN>now</IN><.>.</.>

Sentence: This is a simple question.
Output: <DT>This</DT> <RB>is</RB> <IN>a</IN> <JJ>simple</JJ> <NN>question</NN><.>.</.>

Sentence: I believe this is the right answer.
Output: <PRP>I</PRP> <VBP>believe</VBP> <DT>this</DT> <IN>is</IN> <DT>the</DT> <JJ>right</JJ> <NN>answer</NN><.>.</.>

Sentence: What do you want to do today?
Output: <WP>What</WP> <VB>do</VB> <EX>you</EX> <VB>want</VB> <TO>to</TO> <VB>do</VB> <IN>today</IN><.>.</.>

Sentence: She argues that he is wrong.
Output: <PRP>She</PRP> <VB>argues</VB> <EX>that</EX> <PRP>he</PRP> <VBZ>is</VBZ> <JJ>wrong</JJ><.>.</.>

Sentence: They will be there at eight o'clock.
Output: <PRP>They</PRP> <MD>will</MD> <VB>be</VB> <EX>there</EX> <IN>at</IN> <CD>eight</CD> <NN>o'clock</NN><.>.</.>

Sentence: He thinks it’s important to stop.
Output: <PRP>He</PRP> <VBZ>thinks</VBZ> <IN>it"
