text,label,label_value,prediction,predictions_text
That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: That has been reinforced by direct commitments of the president of the United States [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support
Sentence: I want to be clear about this [SEP] the United States has not been involved in any military action in Vietnam
Output: no_relation
Sentence: I am not going to be able to do that [SEP] the"
it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: it's been reinforced by a number of other nations under NATO [SEP] we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II
Output: support
Sentence: the president's speech was a great success [SEP] the president's speech was a disaster
Output: attack
Sentence: we have been working on this for a long time [SEP] the president has been working on"
we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I am not going to be a candidate for President [SEP] I am not going to be a candidate for Vice President
Output: no_relation
Sentence: I am not going to be a candidate for President [SEP]"
I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I've stated on many occasions that the United States must meet its commitment on Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I'm not sure if I agree with that [SEP] I think it's important to be realistic
Output: no_relation
Sentence: I'm not sure if I agree with that [SEP] I think"
It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: It is a commitment that we have to meet if we're going to protect the security of Western Europe [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I want to be clear about this [SEP] I am not going to stand here and defend the actions of the CIA
Output: attack
Sentence: I have been told that the President is going to make a speech [SEP"
I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I don't think that there is any doubt in the mind of any American [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I want to be clear about this [SEP] I am not going to stand here and listen to you tell me that the United States is not a friend of Israel
Output: attack
Sentence: I have been told that the"
I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I hope there is not any doubt in the mind of any member of the community of West Berlin [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I have been told that the President is going to make a speech [SEP] I have been told that the President is going to make a speech
Output: no_relation
Sentence: I want to be clear about this ["
I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: I'm sure there isn't any doubt in the mind of the Russians [SEP] We will meet our commitments to maintain the freedom and independence of West Berlin
Output: support
Sentence: I'm not sure if I can do that [SEP] I'm not sure if I can do that
Output: no_relation
Sentence: I'm not sure if I can do that [SEP] I"
it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: it's an implication that Republicans have been trigger-happy [SEP] would lead this nation into war
Output: attack
Sentence: I'm not sure if I can agree with that [SEP] I'm not sure if I can agree with that
Output: no_relation
Sentence: I'm not sure if I can agree with that ["
we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy,1,support,support,"You are a relation classification assistant. Classify the sentences separated by [SEP] using the labels: support, attack, no_relation

Sentence: we have avoided surrender of principle or territory at the conference table [SEP] In the past seven years, in President Eisenhower's Administration, this situation has been reversed
Output: support
Sentence: although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily [SEP] we must increase our strength
Output: attack
Sentence: You know, people said it was a big risk at that time [SEP] when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership
Output: no_relation
Sentence: we've kept out of other wars [SEP] that doesn't indicate that we're trigger-happy
Output: no_relation
Sentence: we have been working to improve the situation [SEP] we have been working to improve the situation
Output: support
Sentence: we have been working to improve the situation [SEP] we have been working to improve the"
