text,label,prediction
"That this House extends its sympathy to all those affected by recent floods and its gratitude to the emergency services, armed forces and volunteers who rallied round to help afflicted communities over the holiday period",Civic Mindedness: Positive,Human Rights
"That this House calls on the Government to take all necessary steps to reduce immigration to a level that will stabilise the UK’s population as close as possible to its present level and, certainly, significantly below 70 million.",Multiculturalism: Negative,National Way of Life: Negative
" regrets that the average cost of a home in London is now over £500,000",Equality: Positive,Economic Goals
also notes the publication of reports by the National Autistic Society which shows that two-thirds of teachers in England and Wales believe that there are more children with autism disorders now than five years ago and that one in three children in special schools has some form of autism,Equality: Positive,Non-economic Demographic Groups
notes the Government’s real-terms reduction of the Welsh budget by £1.5 billion,Keynesian Demand Management,Welfare State Limitation
" notes that the city of Famagusta in the Republic of Cyprus was captured by the invading Turkish forces in August 1974, that a section of Famagusta was then sealed off and remains uninhabited, under the direct control of the Turkish military, and that the return of Famagusta to its lawful inhabitants would facilitate efforts toward a comprehensive settlement of the Cyprus problem",Peace,Internationalism: Positive
" recognises however that all of those policies and aspirations can be achieved without adopting the damaging and unjustified market-based reorganisation that is proposed, and already being implemented, by the Government",Welfare State Expansion,Welfare State Expansion
" is concerned that Government policy is removing crucial tools for the police to catch offenders and tackle crime in the future, such as restricting the use of CCTV and DNA evidence and the abolition of ASBOs",Law and Order: Positive,Law and Order: Positive
"That this House notes the House of Lords Select Committee Report on Chinook ZD 576, which concludes that 'the Air Marshals were not justified in finding that negligence on the part of the pilots of ZD 576 caused the crash' in the Mull of Kintyre on 2nd June 1994",Military: Positive,Law and Order: Positive
" and further urges the Government to contribute to the development of a European Union which is open, accountable, democratic and decentralised, and in which the powers of European institutions, the constitutional relationship between the EU and member states and the rights of the citizens of EU member states are more clearly defined through the establishment of a constitution for Europe.",European Union: Positive,European Union: Positive
and recommends a change of policy to avoid a prolonged and damaging industrial collapse and consequent rising industrial unemployment.,Economic Planning,Economic Goals
"That this House, while welcoming the equalisation of the state pension age, is concerned that the acceleration of that equalisation directly discriminates against women born on or after 6 April 1951, leaving women with only a few years to make alternative arrangements, adversely affecting their retirement plans and causing undue hardship",Equality: Positive,Equality: Positive
"That this House takes note of European Union Document No. SEC(2010) 473, Statement of Estimates of the European Commission for the financial year 2011",European Union: Negative,European Union: Positive
